date,buy_sig,sell_sig,buy_list,sell_list,action,reason,cash,shares,close,portfolio
2025-06-24,2,1,"BB회귀,W패턴",MACD,관망,매수2/매도1,10000000.0,0,108785.4453125,10000000.0
2025-06-25,1,5,W패턴,"저항거부,RSI이탈,MACD,BB거부,STO_DC",관망,매수1/매도5,10000000.0,0,106073.0703125,10000000.0
2025-06-26,2,2,"BB회귀,W패턴","MACD,STO_DC",관망,매수2/매도2,10000000.0,0,106460.5546875,10000000.0
2025-06-27,2,1,"BB회귀,W패턴",STO_DC,관망,매수2/매도1,10000000.0,0,107138.640625,10000000.0
2025-06-30,1,1,BB회귀,STO_DC,관망,매수1/매도1,10000000.0,0,107429.2578125,10000000.0
2025-07-01,0,3,,"저항거부,BB거부,STO_DC",관망,매수0/매도3,10000000.0,0,107332.3828125,10000000.0
2025-07-02,2,1,"BB회귀,W패턴",STO_DC,관망,매수2/매도1,10000000.0,0,109947.8828125,10000000.0
2025-07-03,3,1,"MACD,BB회귀,W패턴",STO_DC,관망,매수3/매도1,10000000.0,0,113241.484375,10000000.0
2025-07-04,2,5,"MACD,W패턴","저항거부,RSI이탈,MACD,BB거부,STO_DC",관망,매수2/매도5,10000000.0,0,108591.703125,10000000.0
2025-07-07,3,2,"MACD,BB회귀,W패턴","MACD,STO_DC",관망,매수3/매도2,10000000.0,0,110819.7265625,10000000.0
2025-07-08,3,2,"MACD,BB회귀,W패턴","MACD,STO_DC",관망,매수3/매도2,10000000.0,0,118181.8671875,10000000.0
2025-07-09,2,4,"MACD,W패턴","저항거부,MACD,BB거부,STO_DC",관망,매수2/매도4,10000000.0,0,114694.53125,10000000.0
2025-07-10,2,4,"MACD,W패턴","저항거부,MACD,BB거부,STO_DC",관망,매수2/매도4,10000000.0,0,113144.609375,10000000.0
2025-07-11,2,2,"MACD,W패턴","MACD,STO_DC",관망,매수2/매도2,10000000.0,0,113628.9609375,10000000.0
2025-07-14,2,2,"MACD,W패턴","MACD,STO_DC",관망,매수2/매도2,10000000.0,0,114791.40625,10000000.0
2025-07-15,2,2,"MACD,W패턴","MACD,STO_DC",관망,매수2/매도2,10000000.0,0,115856.984375,10000000.0
2025-07-16,1,4,MACD,"RSI이탈,MACD,BB거부,STO_DC",관망,매수1/매도4,10000000.0,0,110044.7578125,10000000.0
2025-07-17,1,3,MACD,"MACD,M패턴,STO_DC",관망,매수1/매도3,10000000.0,0,111207.203125,10000000.0
2025-07-18,1,5,MACD,"RSI이탈,MACD,BB거부,M패턴,STO_DC",관망,매수1/매도5,10000000.0,0,109851.015625,10000000.0
2025-07-21,1,3,MACD,"MACD,M패턴,STO_DC",관망,매수1/매도3,10000000.0,0,111400.9453125,10000000.0
2025-07-22,0,6,,"DC,RSI이탈,MACD,BB거부,M패턴,STO_DC",관망,매수0/매도6,10000000.0,0,111013.4609375,10000000.0
2025-07-23,0,4,,"DC,MACD,M패턴,STO_DC",관망,매수0/매도4,10000000.0,0,111691.5546875,10000000.0
2025-07-24,0,3,,"DC,MACD,STO_DC",관망,매수0/매도3,10000000.0,0,113532.0859375,10000000.0
2025-07-25,1,3,GC,"DC,MACD,STO_DC",관망,매수1/매도3,10000000.0,0,115082.0078125,10000000.0
2025-07-28,1,6,GC,"DC,RSI이탈,MACD,BB거부,M패턴,STO_DC",관망,매수1/매도6,10000000.0,0,107041.7734375,10000000.0
2025-07-29,2,3,"GC,BB회귀","DC,MACD,STO_DC",관망,매수2/매도3,10000000.0,0,107816.734375,10000000.0
2025-07-30,4,1,"GC,RSI탈출,BB회귀,STO_GC",DC,매수,매수4/매도1,43718.459079146385,92,109269.796875,10096539.771579146
2025-07-31,2,2,"GC,STO_GC","DC,BB거부",매도,손절-3.5%,9630280.363673622,0,107429.2578125,9630280.363673622
2025-08-01,2,2,"GC,STO_GC","DC,BB거부",관망,매수2/매도2,9630280.363673622,0,102682.609375,9630280.363673622
2025-08-04,3,1,"GC,BB회귀,STO_GC",DC,관망,매수3/매도1,9630280.363673622,0,105007.5,9630280.363673622
2025-08-05,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",DC,매수,매수5/매도1,38674.47805916332,88,108882.3046875,9620317.290559163
2025-08-06,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",DC,관망,매수5/매도1,38674.47805916332,88,111982.15625,9893104.228059163
2025-08-07,3,2,"GC,W패턴,STO_GC","DC,BB거부",관망,매수3/매도2,38674.47805916332,88,111400.9453125,9841957.665559163
2025-08-08,2,2,"W패턴,STO_GC","DC,BB거부",관망,매수2/매도2,38674.47805916332,88,110834.5703125,9792116.665559163
2025-08-11,3,1,"GC,W패턴,STO_GC",BB거부,관망,매수3/매도1,38674.47805916332,88,110053.3515625,9723369.415559163
2025-08-12,5,0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",,관망,매수5/매도0,38674.47805916332,88,111420.4765625,9843676.415559163
