date,side,price,qty,buy_sig,sell_sig,reason,pnl_pct
2025-07-31,BUY,108204.22089861361,92,4,1,매수4/매도1,
2025-08-01,SELL,104426.27632665094,92,2,2,손절-3.5%,-3.4914946391070734
2025-08-06,BUY,108979.17455125433,88,5,1,매수5/매도1,
2025-08-14,SELL,113080.55093308304,88,6,0,익절+3.8%,3.7634496670735818
2025-08-18,BUY,108686.23124125467,91,4,2,매수4/매도2,
2025-08-19,SELL,104975.47114231033,91,3,3,손절-3.4%,-3.4141952081376714
2025-09-04,BUY,106244.93917050691,90,4,0,매수4/매도0,
2025-09-11,SELL,114252.37942442602,90,5,0,익절+7.5%,7.536773343216274
2025-09-12,BUY,116596.00315643336,88,4,0,매수4/매도0,
2025-09-25,SELL,112201.6830093504,88,1,3,손절-3.8%,-3.768842866069122
2025-10-21,BUY,115717.14129560086,85,4,1,매수4/매도1,
2025-10-23,SELL,111811.08425658754,85,3,3,손절-3.4%,-3.3755215478709855
2025-10-28,BUY,113373.50614126933,84,6,2,매수6/매도2,
2025-10-30,SELL,112006.39480785838,84,2,5,"매도신호5개(저항거부,MACD,BB거부,M패턴,STO_DC)",-1.205847274148386
2025-11-04,BUY,115619.49856439704,81,4,2,매수4/매도2,
2025-11-05,SELL,121673.89170435855,81,3,1,익절+5.2%,5.2364810565143305
2025-12-03,BUY,130582.9011009871,75,5,2,매수5/매도2,
2025-12-09,SELL,126158.03118179562,75,4,2,손절-3.4%,-3.388552315719706
2025-12-26,BUY,123896.42380617978,76,4,2,매수4/매도2,
2026-01-15,SELL,127927.9765625,76,4,1,익절+3.3%,3.2539702377746282
2026-01-16,BUY,129304.60015398206,75,4,1,매수4/매도1,
2026-01-22,SELL,134516.1280623608,75,4,1,익절+4.0%,4.030427302797124
2026-04-09,BUY,161529.67051718547,62,5,1,매수5/매도1,
2026-04-10,SELL,154877.85691724575,62,4,2,손절-4.1%,-4.118013476187965
2026-04-13,BUY,155672.1082375479,62,5,1,매수5/매도1,
2026-04-17,SELL,161827.51164895255,62,5,0,익절+4.0%,3.9540823857873386
2026-04-20,BUY,165302.32728985394,61,4,0,매수4/매도0,
2026-04-21,SELL,160040.4485271197,61,3,3,손절-3.2%,-3.183184924860527
2026-06-05,BUY,171500.0,56,5,0,매수5/매도0,
2026-06-09,SELL,157200.0,56,3,4,손절-8.3%,-8.338192419825074
2026-06-10,BUY,152800.0,58,5,1,매수5/매도1,
2026-06-11,SELL,153800.0,58,3,4,"매도신호4개(RSI이탈,MACD,BB거부,STO_DC)",0.654450261780104
2026-06-26,BUY,151300.0,59,5,2,매수5/매도2,
2026-06-29,SELL,149400.0,59,1,4,"매도신호4개(DC,MACD,BB거부,M패턴)",-1.2557832121612655
2026-07-03,BUY,165200.0,53,4,2,매수4/매도2,
2026-07-06,SELL,170200.0,53,5,2,익절+3.0%,3.0266343825665842
