date,action,detail,held,tp_pending,cash,portfolio,top_pick,month
2025-07-01,매수,메리츠금융지주,메리츠금융지주,False,5014052.22,10078452.219999999,메리츠금융지주,2025-07
2025-07-02,관망,,메리츠금융지주,False,5014052.22,10109252.219999999,메리츠금융지주,2025-07
2025-07-03,관망,,메리츠금융지주,False,5014052.22,10126852.219999999,삼성바이오로직스,2025-07
2025-07-04,관망,,메리츠금융지주,False,5014052.22,9999252.219999999,삼성바이오로직스,2025-07
2025-07-07,관망,,메리츠금융지주,False,5014052.22,10047652.219999999,셀트리온,2025-07
2025-07-08,관망,,메리츠금융지주,False,5014052.22,10091652.219999999,셀트리온,2025-07
2025-07-09,관망,,메리츠금융지주,False,5014052.22,10162052.219999999,고려아연,2025-07
2025-07-10,관망,,메리츠금융지주,False,5014052.22,10144452.219999999,삼성바이오로직스,2025-07
2025-07-11,관망,,메리츠금융지주,False,5014052.22,10219252.219999999,삼성바이오로직스,2025-07
2025-07-14,관망,,메리츠금융지주,False,5014052.22,10430452.219999999,고려아연,2025-07
2025-07-15,관망,,메리츠금융지주,False,5014052.22,10360052.219999999,HMM,2025-07
2025-07-16,관망,,메리츠금융지주,False,5014052.22,10109252.219999999,HMM,2025-07
2025-07-17,관망,,메리츠금융지주,False,5014052.22,10157652.219999999,삼성바이오로직스,2025-07
2025-07-18,관망,,메리츠금융지주,False,5014052.22,10126852.219999999,삼성바이오로직스,2025-07
2025-07-21,관망,,메리츠금융지주,False,5014052.22,10258852.219999999,LG에너지솔루션,2025-07
2025-07-22,관망,,메리츠금융지주,False,5014052.22,10166452.219999999,고려아연,2025-07
2025-07-23,관망,,메리츠금융지주,False,5014052.22,10153252.219999999,SK텔레콤,2025-07
2025-07-24,관망,,메리츠금융지주,False,5014052.22,10118052.219999999,기아,2025-07
2025-07-25,관망,,메리츠금융지주,False,5014052.22,10109252.219999999,삼성SDI,2025-07
2025-07-28,관망,,메리츠금융지주,False,5014052.22,10109252.219999999,한국전력,2025-07
2025-07-29,관망,,메리츠금융지주,False,5014052.22,10162052.219999999,현대차,2025-07
2025-07-30,관망,,메리츠금융지주,False,5014052.22,10148852.219999999,기아,2025-07
2025-07-31,관망,,메리츠금융지주,False,5014052.22,10109252.219999999,삼성전기,2025-07
2025-08-01,관망,,메리츠금융지주,False,5014052.22,9924452.219999999,카카오,2025-08
2025-08-04,관망,,메리츠금융지주,False,5014052.22,9977252.219999999,삼성전기,2025-08
2025-08-05,관망,,메리츠금융지주,False,5014052.22,10008052.219999999,삼성전기,2025-08
2025-08-06,관망,,메리츠금융지주,False,5014052.22,10056452.219999999,삼성전기,2025-08
2025-08-07,관망,,메리츠금융지주,False,5014052.22,10030052.219999999,KB금융,2025-08
2025-08-08,관망,,메리츠금융지주,False,5014052.22,9990452.219999999,카카오,2025-08
2025-08-11,관망,,메리츠금융지주,False,5014052.22,9924452.219999999,카카오,2025-08
2025-08-12,관망,,메리츠금융지주,False,5014052.22,9924452.219999999,카카오,2025-08
2025-08-13,관망,,메리츠금융지주,False,5014052.22,10021252.219999999,KT&G,2025-08
2025-08-14,관망,,메리츠금융지주,False,5014052.22,10329252.219999999,SK하이닉스,2025-08
2025-08-18,관망,,메리츠금융지주,False,5014052.22,10263252.219999999,메리츠금융지주,2025-08
