date,pick,buy_hit,sell_hit,signals,held,day_pnl,portfolio,top3,month
2025-06-25,삼성바이오로직스,7,3,"지지반등,RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,,10035516.9676,삼성바이오로직스 | 한국전력 | 메리츠금융지주,2025-06
2025-06-26,한국전력,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",한국전력,0.6999998699217524,11137724.813513989,한국전력 | 메리츠금융지주 | 삼성전자,2025-06
2025-06-27,한국전력,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",한국전력,8.743170114723764,10743277.821941575,한국전력 | LG화학 | 메리츠금융지주,2025-06
2025-06-30,한국전력,4,2,"GC,MACD,W패턴,STO_GC",한국전력,-2.63819134948583,10732595.31737044,한국전력 | 신한지주 | 메리츠금융지주,2025-06
2025-07-01,메리츠금융지주,7,3,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치",메리츠금융지주,0.12903294876227545,10739121.271399235,메리츠금융지주 | 한국전력 | LG에너지솔루션,2025-07
2025-07-02,메리츠금융지주,6,1,"GC,RSI탈출,MACD,BB회귀,STO_GC,피보나치",메리츠금융지주,1.0591350397175736,10779729.721399233,메리츠금융지주 | 삼성바이오로직스 | 셀트리온,2025-07
2025-07-03,삼성바이오로직스,7,1,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",삼성바이오로직스,1.1353711790393017,11022701.972299233,삼성바이오로직스 | 셀트리온 | 메리츠금융지주,2025-07
2025-07-04,삼성바이오로직스,7,0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,3.743842909036843,10945007.922124231,삼성바이오로직스 | 셀트리온 | 메리츠금융지주,2025-07
2025-07-07,셀트리온,6,3,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",셀트리온,-1.3295344429052003,10974493.588458883,셀트리온 | HMM | 삼성바이오로직스,2025-07
2025-07-08,셀트리온,5,3,"GC,MACD,BB회귀,W패턴,STO_GC",셀트리온,-0.05614684649868362,10749338.656862738,셀트리온 | LG에너지솔루션 | 삼성바이오로직스,2025-07
2025-07-09,고려아연,5,1,"MACD,BB회귀,200일선,STO_GC,피보나치",고려아연,-2.1348366818860542,10387197.06937549,고려아연 | HMM | 삼성물산,2025-07
2025-07-10,삼성바이오로직스,8,0,"GC,지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",삼성바이오로직스,-2.8571433443222327,10891702.51167359,삼성바이오로직스 | HMM | 삼성물산,2025-07
2025-07-11,삼성바이오로직스,8,0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,4.71050207224466,10656882.659598589,삼성바이오로직스 | 삼성물산 | 셀트리온,2025-07
2025-07-14,고려아연,6,1,"MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",고려아연,-1.218371237649063,10677430.234080212,고려아연 | HMM | 삼성바이오로직스,2025-07
2025-07-15,HMM,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",HMM,-0.23612726044830445,10560298.213077964,HMM | 삼성물산 | 기아,2025-07
2025-07-16,HMM,4,1,"GC,MACD,BB회귀,W패턴",HMM,-1.1560668993225387,10231888.338662961,HMM | 셀트리온 | 삼성전자,2025-07
2025-07-17,삼성바이오로직스,3,0,"GC,BB회귀,200일선",삼성바이오로직스,-1.9493163427680704,10391189.800060559,삼성바이오로직스 | 삼성전자 | 고려아연,2025-07
2025-07-18,삼성바이오로직스,5,0,"GC,BB회귀,W패턴,200일선,피보나치",삼성바이오로직스,3.0534413915891845,10192994.863585558,삼성바이오로직스 | 고려아연 | 삼성물산,2025-07
2025-07-21,LG에너지솔루션,3,1,"BB회귀,W패턴,피보나치",LG에너지솔루션,-2.407411268826809,10399756.427498057,LG에너지솔루션 | 현대차 | 삼성SDI,2025-07
2025-07-22,고려아연,5,2,"MACD,BB회귀,W패턴,STO_GC,피보나치",고려아연,2.6194144838212585,10532268.986615863,고려아연 | 삼성SDI | POSCO홀딩스,2025-07
2025-07-23,SK텔레콤,4,2,"GC,BB회귀,W패턴,200일선",SK텔레콤,1.5738487891172603,10475014.068830797,SK텔레콤 | LG에너지솔루션 | 삼성바이오로직스,2025-07
2025-07-24,기아,6,3,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",기아,-0.3533497110167372,10291830.245077714,기아 | 현대차 | 삼성바이오로직스,2025-07
2025-07-25,삼성SDI,5,1,"MACD,BB회귀,W패턴,STO_GC,피보나치",삼성SDI,-2.0522351884719403,10082735.726176642,삼성SDI | 현대차 | 기아,2025-07
2025-07-28,한국전력,4,1,"GC,RSI탈출,BB회귀,W패턴",한국전력,-0.7242628039317078,10273663.779216887,한국전력 | 현대차 | 기아,2025-07
2025-07-29,현대차,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",현대차,1.3959398888975683,10311965.019877112,현대차 | 기아 | 삼성바이오로직스,2025-07
2025-07-30,기아,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",기아,-0.9195358038448731,10694744.756804068,기아 | 현대차 | LG에너지솔루션,2025-07
2025-07-31,삼성전기,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성전기,7.3333355190187355,10776461.301726349,삼성전기 | 현대차 | 기아,2025-07
2025-08-01,카카오,4,0,"RSI탈출,BB회귀,W패턴,STO_GC",카카오,-2.4617407840431316,10286107.412840748,카카오 | 삼성전기 | SK텔레콤,2025-08
2025-08-04,삼성전기,4,4,"GC,MACD,W패턴,STO_GC",삼성전기,-3.8461526350893505,10648796.281769292,삼성전기 | 기아 | 현대차,2025-08
2025-08-05,삼성전기,6,2,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성전기,8.223004981766469,11003588.005445717,삼성전기 | 현대차 | 기아,2025-08
2025-08-06,삼성전기,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성전기,-1.094656200695776,10971697.054822452,삼성전기 | KB금융 | SK이노베이션,2025-08
2025-08-07,KB금융,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",KB금융,4.882810282585903,11322811.789355751,KB금융 | SK이노베이션 | 메리츠금융지주,2025-08
2025-08-08,카카오,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",카카오,-0.24453107924313766,11512893.257069727,카카오 | NAVER | 고려아연,2025-08
2025-08-11,카카오,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",카카오,2.7200017854136282,11558251.100655664,카카오 | KT&G | SK텔레콤,2025-08
2025-08-12,카카오,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",카카오,-0.6230535963764661,11442110.135627536,카카오 | 신한지주 | SK하이닉스,2025-08
2025-08-13,KT&G,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KT&G,1.253914490411967,11379697.050642313,KT&G | KB금융 | 신한지주,2025-08
