date,side,tic,name,qty,price,pnl_pct,buy_hit,sell_hit,signals,rank2,rank2_hit,prev_buy_hit
2025-06-25,BUY,207940,삼성바이오로직스,6,1537536.0,,7.0,3.0,"지지반등,RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",한국전력,6.0,
2025-06-26,SELL,207940,삼성바이오로직스,6,1548298.75,0.6999998699217524,,,,,,7.0
2025-06-26,BUY,015760,한국전력,283,35436.347059729065,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",메리츠금융지주,5.0,
2025-06-27,SELL,015760,한국전력,283,38534.60716560509,8.743170114723764,,,,,,6.0
2025-06-27,BUY,015760,한국전력,282,38534.60716560509,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",LG화학,3.0,
2025-06-30,SELL,015760,한국전력,282,37517.99049280375,-2.63819134948583,,,,,,6.0
2025-06-30,BUY,015760,한국전력,282,37517.99049280375,,4.0,2.0,"GC,MACD,W패턴,STO_GC",신한지주,3.0,
2025-07-01,SELL,015760,한국전력,282,37566.40106225297,0.12903294876227545,,,,,,4.0
2025-07-01,BUY,138040,메리츠금융지주,93,113300.0,,7.0,3.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치",한국전력,6.0,
2025-07-02,SELL,138040,메리츠금융지주,93,114500.0,1.0591350397175736,,,,,,7.0
2025-07-02,BUY,138040,메리츠금융지주,93,114500.0,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,STO_GC,피보나치",삼성바이오로직스,5.0,
2025-07-03,SELL,138040,메리츠금융지주,93,115800.0,1.1353711790393017,,,,,,6.0
2025-07-03,BUY,207940,삼성바이오로직스,6,1560599.0,,7.0,1.0,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",셀트리온,7.0,
2025-07-04,SELL,207940,삼성바이오로직스,6,1619025.375,3.743842909036843,,,,,,7.0
2025-07-04,BUY,207940,삼성바이오로직스,6,1619025.375,,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",셀트리온,6.0,
2025-07-07,SELL,207940,삼성바이오로직스,6,1597499.875,-1.3295344429052003,,,,,,7.0
2025-07-07,BUY,068270,셀트리온,64,168912.30901736376,,6.0,3.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",HMM,5.0,
2025-07-08,SELL,068270,셀트리온,64,168817.4700825024,-0.05614684649868362,,,,,,6.0
2025-07-08,BUY,068270,셀트리온,64,168817.4700825024,,5.0,3.0,"GC,MACD,BB회귀,W패턴,STO_GC",LG에너지솔루션,4.0,
2025-07-09,SELL,068270,셀트리온,64,165213.49280574912,-2.1348366818860542,,,,,,5.0
2025-07-09,BUY,010130,고려아연,12,858278.3832796013,,5.0,1.0,"MACD,BB회귀,200일선,STO_GC,피보나치",HMM,4.0,
2025-07-10,SELL,010130,고려아연,12,833756.1395759718,-2.8571433443222327,,,,,,5.0
2025-07-10,BUY,207940,삼성바이오로직스,6,1566749.125,,8.0,0.0,"GC,지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",HMM,5.0,
2025-07-11,SELL,207940,삼성바이오로직스,6,1640550.875,4.71050207224466,,,,,,8.0
2025-07-11,BUY,207940,삼성바이오로직스,6,1640550.875,,8.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성물산,7.0,
2025-07-14,SELL,207940,삼성바이오로직스,6,1620562.875,-1.218371237649063,,,,,,8.0
2025-07-14,BUY,010130,고려아연,12,830813.4750146541,,6.0,1.0,"MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",HMM,5.0,
2025-07-15,SELL,010130,고려아연,12,828851.6979166666,-0.23612726044830445,,,,,,6.0
2025-07-15,BUY,011200,HMM,419,25175.373046875,,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",삼성물산,5.0,
2025-07-16,SELL,011200,HMM,419,24884.32889229911,-1.1560668993225387,,,,,,5.0
2025-07-16,BUY,011200,HMM,418,24884.32889229911,,4.0,1.0,"GC,MACD,BB회귀,W패턴",셀트리온,3.0,
2025-07-17,SELL,011200,HMM,418,24399.254602413366,-1.9493163427680704,,,,,,4.0
2025-07-17,BUY,207940,삼성바이오로직스,6,1611337.625,,3.0,0.0,"GC,BB회귀,200일선",삼성전자,3.0,
2025-07-18,SELL,207940,삼성바이오로직스,6,1660538.875,3.0534413915891845,,,,,,3.0
2025-07-18,BUY,207940,삼성바이오로직스,6,1660538.875,,5.0,0.0,"GC,BB회귀,W패턴,200일선,피보나치",고려아연,5.0,
2025-07-21,SELL,207940,삼성바이오로직스,6,1620562.875,-2.407411268826809,,,,,,5.0
2025-07-21,BUY,373220,LG에너지솔루션,31,324500.0,,3.0,1.0,"BB회귀,W패턴,피보나치",현대차,3.0,
2025-07-22,SELL,373220,LG에너지솔루션,31,333000.0,2.6194144838212585,,,,,,3.0
2025-07-22,BUY,010130,고려아연,12,810214.7586930456,,5.0,2.0,"MACD,BB회귀,W패턴,STO_GC,피보나치",삼성SDI,4.0,
2025-07-23,SELL,010130,고려아연,12,822966.3138619855,1.5738487891172603,,,,,,5.0
2025-07-23,BUY,017670,SK텔레콤,191,55291.125,,4.0,2.0,"GC,BB회귀,W패턴,200일선",LG에너지솔루션,3.0,
2025-07-24,SELL,017670,SK텔레콤,191,55095.753969594596,-0.3533497110167372,,,,,,4.0
2025-07-24,BUY,000270,기아,102,102691.89702380952,,6.0,3.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",현대차,5.0,
2025-07-25,SELL,000270,기아,102,100584.41777737753,-2.0522351884719403,,,,,,6.0
2025-07-25,BUY,006400,삼성SDI,53,193300.0,,5.0,1.0,"MACD,BB회귀,W패턴,STO_GC,피보나치",현대차,4.0,
2025-07-28,SELL,006400,삼성SDI,53,191900.0,-0.7242628039317078,,,,,,5.0
2025-07-28,BUY,015760,한국전력,266,38147.32300172739,,4.0,1.0,"GC,RSI탈출,BB회귀,W패턴",현대차,4.0,
2025-07-29,SELL,015760,한국전력,266,38679.8367000551,1.3959398888975683,,,,,,4.0
2025-07-29,BUY,005380,현대차,48,211263.4462801032,,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",기아,5.0,
2025-07-30,SELL,005380,현대차,48,209320.80325112108,-0.9195358038448731,,,,,,5.0
2025-07-30,BUY,000270,기아,101,100584.41533627718,,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",현대차,4.0,
2025-07-31,SELL,000270,기아,101,107960.60799272973,7.3333355190187355,,,,,,5.0
2025-07-31,BUY,009150,삼성전기,73,148936.26376513112,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",현대차,5.0,
2025-08-01,SELL,009150,삼성전기,73,145269.83901779485,-2.4617407840431316,,,,,,6.0
2025-08-01,BUY,035720,카카오,185,57119.961064189185,,4.0,0.0,"RSI탈출,BB회귀,W패턴,STO_GC",삼성전기,4.0,
2025-08-04,SELL,035720,카카오,185,54923.04017655686,-3.8461526350893505,,,,,,4.0
2025-08-04,BUY,009150,삼성전기,71,142197.9648515469,,4.0,4.0,"GC,MACD,W패턴,STO_GC",기아,4.0,
2025-08-05,SELL,009150,삼성전기,71,153890.9105852601,8.223004981766469,,,,,,4.0
2025-08-05,BUY,009150,삼성전기,71,153890.9105852601,,6.0,2.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",현대차,5.0,
2025-08-06,SELL,009150,삼성전기,71,152206.33419023137,-1.094656200695776,,,,,,6.0
2025-08-06,BUY,009150,삼성전기,71,152206.33419023137,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KB금융,5.0,
2025-08-07,SELL,009150,삼성전기,71,159638.28072681907,4.882810282585903,,,,,,6.0
2025-08-07,BUY,105560,KB금융,101,111497.81569972826,,5.0,1.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",SK이노베이션,5.0,
2025-08-08,SELL,105560,KB금융,101,111225.16888766519,-0.24453107924313766,,,,,,5.0
2025-08-08,BUY,035720,카카오,180,62412.54561373433,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",NAVER,5.0,
2025-08-11,SELL,035720,카카오,180,64110.16796875,2.7200017854136282,,,,,,6.0
2025-08-11,BUY,035720,카카오,180,64110.16796875,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KT&G,6.0,
2025-08-12,SELL,035720,카카오,180,63710.72726157771,-0.6230535963764661,,,,,,6.0
2025-08-12,BUY,035720,카카오,179,63710.72726157771,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",신한지주,5.0,
2025-08-13,SELL,035720,카카오,179,64509.60530265748,1.253914490411967,,,,,,6.0
2025-08-13,BUY,033780,KT&G,85,135017.11028343023,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KB금융,5.0,
2025-08-14,SELL,033780,KT&G,85,132123.88200028046,-2.1428604693703335,,,,,,6.0
2025-08-14,BUY,000660,SK하이닉스,40,276345.24497061485,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KB금융,6.0,
2025-08-18,SELL,000660,SK하이닉스,40,270868.14953271026,-1.9819756401044608,,,,,,6.0
2025-08-18,BUY,138040,메리츠금융지주,92,120000.0,,5.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,STO_GC",SK이노베이션,5.0,
2025-08-19,SELL,138040,메리츠금융지주,92,119400.0,-0.5000000000000004,,,,,,5.0
2025-08-19,BUY,035420,NAVER,48,225629.88691796007,,5.0,1.0,"RSI탈출,BB회귀,W패턴,STO_GC,피보나치",카카오,4.0,
2025-08-20,SELL,035420,NAVER,48,219197.453125,-2.8508784367289652,,,,,,5.0
2025-08-20,BUY,032830,삼성생명,84,125856.73882294877,,5.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴",현대차,5.0,
2025-08-21,SELL,032830,삼성생명,84,126146.95991750358,0.23059638861537834,,,,,,5.0
2025-08-21,BUY,138040,메리츠금융지주,87,121500.0,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성생명,5.0,
2025-08-22,SELL,138040,메리츠금융지주,87,128000.0,5.3497942386831365,,,,,,6.0
2025-08-22,BUY,005380,현대차,51,215634.43380681818,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",메리츠금융지주,6.0,
2025-08-25,SELL,005380,현대차,51,215148.7587626689,-0.2252307461174663,,,,,,6.0
2025-08-25,BUY,138040,메리츠금융지주,86,128800.0,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성바이오로직스,6.0,
2025-08-26,SELL,138040,메리츠금융지주,86,128400.0,-0.31055900621117516,,,,,,6.0
2025-08-26,BUY,005380,현대차,51,214177.41794193364,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",LG,6.0,
2025-08-27,SELL,005380,현대차,51,212720.45497159092,-0.6802598445451946,,,,,,6.0
2025-08-27,BUY,000660,SK하이닉스,42,257922.20823317306,,5.0,3.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",현대모비스,4.0,
2025-08-28,SELL,000660,SK하이닉스,42,253308.35847299814,-1.7888532328335982,,,,,,5.0
2025-08-28,BUY,017670,SK텔레콤,197,54545.31783640711,,6.0,2.0,"GC,RSI탈출,BB회귀,W패턴,200일선,STO_GC",고려아연,5.0,
2025-08-29,SELL,017670,SK텔레콤,197,54545.32006745849,4.0902711218038235e-06,,,,,,6.0
2025-08-29,BUY,034730,SK,53,202363.64039855072,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성물산,6.0,
2025-09-01,SELL,034730,SK,53,199913.71739130435,-1.210653753026636,,,,,,6.0
2025-09-01,BUY,000270,기아,103,102308.71998239437,,5.0,2.0,"GC,MACD,BB회귀,W패턴,STO_GC",SK하이닉스,5.0,
2025-09-02,SELL,000270,기아,103,101733.95162371735,-0.5617980156294777,,,,,,5.0
2025-09-02,BUY,003550,LG,144,72577.0108125,,5.0,0.0,"RSI탈출,MACD,BB회귀,STO_GC,피보나치",셀트리온,5.0,
2025-09-03,SELL,003550,LG,144,71709.55452127659,-1.195221849883643,,,,,,5.0
2025-09-03,BUY,035420,NAVER,46,222166.27297794117,,5.0,0.0,"RSI탈출,MACD,BB회귀,STO_GC,피보나치",삼성물산,5.0,
2025-09-04,SELL,035420,NAVER,46,219197.45505231275,-1.3363045100563853,,,,,,5.0
2025-09-04,BUY,003550,LG,141,72095.09453642384,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",고려아연,5.0,
2025-09-05,SELL,003550,LG,141,72384.24498801256,0.4010681357004664,,,,,,7.0
2025-09-05,BUY,003550,LG,141,72384.24498801256,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",SK이노베이션,7.0,
2025-09-08,SELL,003550,LG,141,72673.40120635706,0.3994739717080309,,,,,,7.0
2025-09-08,BUY,035420,NAVER,45,226124.6930167215,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",LG,7.0,
2025-09-09,SELL,035420,NAVER,45,226124.69118641777,-8.094223180599158e-07,,,,,,7.0
2025-09-09,BUY,003550,LG,138,73733.61798696566,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",SK이노베이션,7.0,
2025-09-10,SELL,003550,LG,138,74119.14828667954,0.5228690931482927,,,,,,7.0
2025-09-10,BUY,096770,SK이노베이션,96,106000.0,,8.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,7.0,
2025-09-11,SELL,096770,SK이노베이션,96,106500.0,0.4716981132075526,,,,,,8.0
2025-09-11,BUY,035420,NAVER,44,232062.3133717811,,7.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",하나금융지주,6.0,
2025-09-12,SELL,035420,NAVER,44,232062.31163930084,-7.465582152477168e-07,,,,,,7.0
2025-09-12,BUY,207940,삼성바이오로직스,6,1594424.75,,7.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",SK이노베이션,7.0,
2025-09-15,SELL,207940,삼성바이오로직스,6,1586737.125,-0.4821566524227605,,,,,,7.0
2025-09-15,BUY,005930,삼성전자,133,76327.29783496732,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",삼성바이오로직스,7.0,
2025-09-16,SELL,005930,삼성전자,133,76030.69828400503,-0.3885890885376164,,,,,,7.0
2025-09-16,BUY,207940,삼성바이오로직스,6,1589812.125,,7.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",하나금융지주,6.0,
2025-09-17,SELL,207940,삼성바이오로직스,6,1582124.5,-0.4835555647809686,,,,,,7.0
2025-09-17,BUY,316140,우리금융지주,388,25810.676071982347,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",신한지주,6.0,
2025-09-18,SELL,316140,우리금융지주,388,25230.662109375,-2.247186245682875,,,,,,6.0
2025-09-18,BUY,005490,POSCO홀딩스,35,277688.4468694885,,7.0,1.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",SK텔레콤,6.0,
2025-09-22,SELL,005490,POSCO홀딩스,35,277688.42168003565,-9.071120221637585e-06,,,,,,7.0
2025-09-22,BUY,033780,KT&G,70,138657.36697931276,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",셀트리온,6.0,
2025-09-23,SELL,033780,KT&G,70,140118.96958274895,1.054111033028815,,,,,,6.0
2025-09-23,BUY,055550,신한지주,145,67665.79737795064,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KT&G,6.0,
2025-09-24,SELL,055550,신한지주,145,68349.28432525326,1.0100922087490805,,,,,,6.0
