date,cash,portfolio,n_positions,day_sells,day_buys,top5,month
2024-06-14,349547.28089837404,10243512.640273374,5,0,1,LG에너지솔루션 | 현대모비스 | 삼성전자 | 카카오 | SK이노베이션,2024-06
2024-06-17,349547.28089837404,9990943.390273374,5,0,0,현대모비스 | 삼성전자 | KT&G | SK이노베이션 | 카카오,2024-06
2024-06-18,349547.28089837404,9899265.984023374,5,0,0,SK텔레콤 | 삼성생명 | 기아 | 현대모비스 | 메리츠금융지주,2024-06
2024-06-19,349547.28089837404,10103261.234023374,5,0,0,SK텔레콤 | 현대모비스 | 메리츠금융지주 | 삼성바이오로직스 | 삼성생명,2024-06
2024-06-20,349547.28089837404,10353811.202773374,5,0,0,삼성물산 | 삼성SDI | 삼성바이오로직스 | 삼성생명 | 메리츠금융지주,2024-06
2024-06-21,349547.28089837404,10175832.585585874,5,0,0,KT&G | 삼성생명 | 메리츠금융지주 | 우리금융지주 | SK이노베이션,2024-06
2024-06-24,349547.28089837404,10028317.710585874,5,0,0,SK텔레콤 | 삼성바이오로직스 | 삼성물산 | 카카오 | LG,2024-06
2024-06-25,349547.28089837404,10067177.710585874,5,0,0,삼성물산 | 기업은행 | NAVER | 우리금융지주 | 신한지주,2024-06
2024-06-26,349547.28089837404,10161812.874648374,5,0,0,기업은행 | 메리츠금융지주 | 우리금융지주 | 삼성바이오로직스 | 삼성전기,2024-06
2024-06-27,349547.28089837404,10101534.124648374,5,0,0,삼성물산 | 고려아연 | NAVER | KT&G | 한국전력,2024-06
2024-06-28,248330.3837666136,10271054.368141614,9,1,1,삼성물산 | 하나금융지주 | 메리츠금융지주 | KT&G | SK텔레콤,2024-06
2024-07-01,248330.3837666136,10227711.215797864,9,0,0,삼성물산 | 한국전력 | 하나금융지주 | 삼성전기 | SK텔레콤,2024-07
2024-07-02,248330.3837666136,10045125.395485364,9,0,0,삼성바이오로직스 | LG에너지솔루션 | POSCO홀딩스 | HMM | 삼성전기,2024-07
2024-07-03,248330.3837666136,10140907.235329114,9,0,0,삼성바이오로직스 | 하나금융지주 | 삼성물산 | 셀트리온 | 신한지주,2024-07
