date,side,tic,name,qty,price,buy_hit,signals,reason,amount,pnl_pct,hold_days
2024-06-14,BUY,373220,LG에너지솔루션,5,363000.0,6.0,"GC,RSI탈출,MACD,BB회귀,STO_GC,피보나치",TOP5 1/5 배분,1815000.0,,
2024-06-14,BUY,012330,현대모비스,9,211977.15096507352,6.0,"RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치",TOP5 1/5 배분,1907794.3586856618,,
2024-06-14,BUY,005930,삼성전자,26,76555.89883008794,6.0,"RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,1990453.3695822866,,
2024-06-14,BUY,035720,카카오,46,43124.36087432375,5.0,"지지반등,RSI탈출,MACD,BB회귀,STO_GC",TOP5 1/5 배분,1983720.6002188926,,
2024-06-14,BUY,096770,SK이노베이션,19,102738.79156892314,4.0,"RSI탈출,MACD,BB회귀,STO_GC",TOP5 1/5 배분,1952037.0398095397,,
2024-06-28,SELL,373220,LG에너지솔루션,5,326700.0,,,손절-10%,,-9.999999999999998,10.0
2024-06-28,BUY,028260,삼성물산,2,134151.05528169015,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,268302.1105633803,,
2024-06-28,BUY,086790,하나금융지주,7,55289.3515625,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,387025.4609375,,
2024-06-28,BUY,138040,메리츠금융지주,5,74867.79196626107,6.0,"GC,지지반등,RSI탈출,MACD,BB회귀,STO_GC",TOP5 1/5 배분,374338.9598313053,,
2024-06-28,BUY,033780,KT&G,4,79500.28412875567,6.0,"GC,지지반등,BB회귀,W패턴,200일선,피보나치",TOP5 1/5 배분,318001.13651502266,,
2024-06-28,BUY,017670,SK텔레콤,8,47909.6953125,6.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,383277.5625,,
2024-07-23,SELL,035720,카카오,46,38811.92478689137,,,손절-10%,,-9.999999999999998,27.0
2024-07-23,BUY,033780,KT&G,4,85238.36819124733,3.0,"BB회귀,거래량돌파,W패턴",TOP5 1/5 배분,340953.4727649893,,
2024-07-23,BUY,086790,하나금융지주,6,58295.19747235387,3.0,"GC,BB회귀,W패턴",TOP5 1/5 배분,349771.18483412324,,
2024-07-23,BUY,096770,SK이노베이션,3,105783.63208626761,3.0,"GC,MACD,STO_GC",TOP5 1/5 배분,317350.89625880285,,
2024-07-23,BUY,068270,셀트리온,2,166533.36134276853,2.0,"BB회귀,W패턴",TOP5 1/5 배분,333066.72268553707,,
