date,cash,portfolio,n_positions,day_sells,day_buys,top5,month
2025-07-01,765260.9497803072,10040484.641186558,5,0,1,메리츠금융지주 | 한국전력 | LG에너지솔루션 | POSCO홀딩스 | SK하이닉스,2025-07
2025-07-02,915426.3931237571,10029040.518123757,6,1,1,메리츠금융지주 | 삼성바이오로직스 | 셀트리온 | POSCO홀딩스 | LG화학,2025-07
2025-07-03,915426.3931237571,10360766.674373757,6,0,0,삼성바이오로직스 | 셀트리온 | 메리츠금융지주 | POSCO홀딩스 | LG에너지솔루션,2025-07
2025-07-04,915426.3931237571,10270223.924373757,6,0,0,삼성바이오로직스 | 셀트리온 | 메리츠금융지주 | LG에너지솔루션 | 삼성전자,2025-07
2025-07-07,915426.3931237571,10290307.408748757,6,0,0,셀트리온 | HMM | 삼성바이오로직스 | LG화학 | 한국전력,2025-07
2025-07-08,915426.3931237571,10292230.299373757,6,0,0,셀트리온 | LG에너지솔루션 | 삼성바이오로직스 | 메리츠금융지주 | 신한지주,2025-07
2025-07-09,915426.3931237571,10328277.986873757,6,0,0,고려아연 | HMM | 삼성물산 | 삼성바이오로직스 | SK,2025-07
2025-07-10,915426.3931237571,10547876.830623757,6,0,0,삼성바이오로직스 | HMM | 삼성물산 | 셀트리온 | 현대모비스,2025-07
2025-07-11,915426.3931237571,10636271.830623757,6,0,0,삼성바이오로직스 | 삼성물산 | 셀트리온 | LG에너지솔루션 | HMM,2025-07
2025-07-14,915426.3931237571,10733256.096248757,6,0,0,고려아연 | HMM | 삼성바이오로직스 | 삼성물산 | LG에너지솔루션,2025-07
2025-07-15,915426.3931237571,10699359.143123757,6,0,0,HMM | 삼성물산 | 기아 | 삼성바이오로직스 | 현대모비스,2025-07
2025-07-16,915426.3931237571,10387042.596248757,6,0,0,HMM | 셀트리온 | 삼성전자 | 고려아연 | 삼성물산,2025-07
2025-07-17,915426.3931237571,10325542.236873757,6,0,0,삼성바이오로직스 | 삼성전자 | 고려아연 | 삼성물산 | NAVER,2025-07
2025-07-18,915426.3931237571,10373781.955623757,6,0,0,삼성바이오로직스 | 고려아연 | 삼성물산 | 삼성생명 | 삼성전자,2025-07
2025-07-21,915426.3931237571,10664641.268123757,6,0,0,LG에너지솔루션 | 현대차 | 삼성SDI | 삼성전자 | 삼성생명,2025-07
2025-07-22,915426.3931237571,10583619.096248757,6,0,0,고려아연 | 삼성SDI | POSCO홀딩스 | LG에너지솔루션 | 삼성전자,2025-07
2025-07-23,750574.1726312574,10700845.782006256,8,1,1,SK텔레콤 | LG에너지솔루션 | 삼성바이오로직스 | 삼성SDI | 한국전력,2025-07
2025-07-24,750574.1726312574,10873885.860131256,8,0,0,기아 | 현대차 | 삼성바이오로직스 | 삼성SDI | SK이노베이션,2025-07
2025-07-25,750574.1726312574,10806638.735131256,8,0,0,삼성SDI | 현대차 | 기아 | LG에너지솔루션 | 삼성바이오로직스,2025-07
2025-07-28,777544.2370435032,10808745.158918504,10,1,1,한국전력 | 현대차 | 기아 | NAVER | 고려아연,2025-07
2025-07-29,777544.2370435032,10847248.377668504,10,0,0,현대차 | 기아 | 삼성바이오로직스 | 한국전력 | 삼성전기,2025-07
2025-07-30,1122059.7163088196,10886969.51318382,10,1,1,기아 | 현대차 | LG에너지솔루션 | 삼성바이오로직스 | 메리츠금융지주,2025-07
2025-07-31,1122059.7163088196,10687873.43505882,10,0,0,삼성전기 | 현대차 | 기아 | 고려아연 | KB금융,2025-07
2025-08-01,1122059.7163088196,10311081.07568382,10,0,0,카카오 | 삼성전기 | SK텔레콤 | 현대차 | 기아,2025-08
2025-08-04,1122059.7163088196,10406203.43505882,10,0,0,삼성전기 | 현대차 | 기아 | KB금융 | NAVER,2025-08
2025-08-05,1122059.7163088196,10535503.07568382,10,0,0,삼성전기 | 현대차 | 기아 | SK텔레콤 | 메리츠금융지주,2025-08
2025-08-06,1122059.7163088196,10626566.51709007,10,0,0,삼성전기 | KB금융 | SK이노베이션 | 메리츠금융지주 | SK텔레콤,2025-08
2025-08-07,1122059.7163088196,10614859.10693382,10,0,0,KB금융 | SK이노베이션 | 메리츠금융지주 | 한국전력 | 신한지주,2025-08
2025-08-08,1122059.7163088196,10527821.63818382,10,0,0,카카오 | NAVER | 고려아연 | 신한지주 | 우리금융지주,2025-08
2025-08-11,1122059.7163088196,10564028.62255882,10,0,0,카카오 | KT&G | SK텔레콤 | 기업은행 | 현대모비스,2025-08
2025-08-12,1122059.7163088196,10550050.09130882,10,0,0,카카오 | 신한지주 | SK하이닉스 | KT&G | 고려아연,2025-08
2025-08-13,1122059.7163088196,10687783.85693382,10,0,0,KT&G | KB금융 | 신한지주 | 우리금융지주 | SK텔레콤,2025-08
2025-08-14,1122059.7163088196,10859804.90380882,10,0,0,SK하이닉스 | KB금융 | 메리츠금융지주 | 현대모비스 | SK이노베이션,2025-08
2025-08-18,1122059.7163088196,10745998.52880882,10,0,0,메리츠금융지주 | SK이노베이션 | 고려아연 | 카카오 | SK텔레콤,2025-08
2025-08-19,1122059.7163088196,10711700.21630882,10,0,0,NAVER | 카카오 | 메리츠금융지주 | SK하이닉스 | KT&G,2025-08
2025-08-20,418618.4121723351,10661013.462953586,12,1,1,삼성생명 | 현대차 | 현대모비스 | POSCO홀딩스 | 카카오,2025-08
2025-08-21,418618.4121723351,10941099.123109836,12,0,0,메리츠금융지주 | 삼성생명 | 현대차 | SK텔레콤 | 기아,2025-08
2025-08-22,418618.4121723351,10924741.388734836,12,0,0,메리츠금융지주 | 현대차 | 삼성생명 | POSCO홀딩스 | LG화학,2025-08
2025-08-25,418618.4121723351,11007765.142641086,12,0,0,메리츠금융지주 | 삼성바이오로직스 | 기아 | SK하이닉스 | 고려아연,2025-08
2025-08-26,418618.4121723351,10876017.459047336,12,0,0,LG | 현대차 | 고려아연 | 삼성생명 | SK이노베이션,2025-08
2025-08-27,418618.4121723351,10804071.716859836,12,0,0,SK하이닉스 | 현대모비스 | 메리츠금융지주 | 기아 | LG화학,2025-08
2025-08-28,418618.4121723351,10786112.044984836,12,0,0,SK텔레콤 | 고려아연 | 삼성물산 | 삼성바이오로직스 | 기아,2025-08
2025-08-29,418618.4121723351,10743756.142641086,12,0,0,SK | 삼성물산 | LG | SK텔레콤 | 기아,2025-08
2025-09-01,514851.6805393655,10679070.664914366,12,2,1,기아 | SK하이닉스 | SK | HMM | 삼성물산,2025-09
2025-09-02,514851.6805393655,10700066.426633116,12,0,0,LG | 셀트리온 | 기아 | SK텔레콤 | SK,2025-09
2025-09-03,514851.6805393655,10668649.28405499,12,0,0,NAVER | 삼성물산 | SK하이닉스 | 한국전력 | 삼성바이오로직스,2025-09
2025-09-04,550460.8529229307,10665769.802141681,13,1,1,LG | 고려아연 | SK하이닉스 | 셀트리온 | KB금융,2025-09
2025-09-05,550460.8529229307,10583358.290422931,13,0,0,LG | SK이노베이션 | NAVER | SK하이닉스 | SK,2025-09
2025-09-08,550460.8529229307,10566904.184954181,13,0,0,NAVER | LG | 삼성바이오로직스 | SK텔레콤 | SK하이닉스,2025-09
2025-09-09,550460.8529229307,10722312.665422931,13,0,0,LG | SK이노베이션 | 삼성바이오로직스 | 셀트리온 | HMM,2025-09
2025-09-10,550460.8529229307,10808531.487688556,13,0,0,SK이노베이션 | 삼성바이오로직스 | NAVER | LG | POSCO홀딩스,2025-09
2025-09-11,550460.8529229307,10793729.948626056,13,0,0,NAVER | 하나금융지주 | 기업은행 | SK하이닉스 | KB금융,2025-09
