date,side,tic,name,qty,price,buy_hit,signals,reason,amount,pnl_pct,hold_days
2025-07-01,BUY,138040,메리츠금융지주,17,113300.0,7.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치",TOP5 1/5 배분,1926100.0,,
2025-07-01,BUY,015760,한국전력,53,37566.40106225297,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,1991019.2562994072,,
2025-07-01,BUY,373220,LG에너지솔루션,6,296500.0,3.0,"BB회귀,W패턴,STO_GC",TOP5 1/5 배분,1779000.0,,
2025-07-01,BUY,005490,POSCO홀딩스,7,256928.61413043475,3.0,"BB회귀,W패턴,피보나치",TOP5 1/5 배분,1798500.2989130432,,
2025-07-01,BUY,000660,SK하이닉스,6,289789.0819833625,2.0,"BB회귀,W패턴",TOP5 1/5 배분,1738734.4919001749,,
2025-07-02,SELL,015760,한국전력,53,33809.76095602767,,,손절-10%,,-10.000000000000009,1.0
2025-07-02,BUY,138040,메리츠금융지주,4,114500.0,6.0,"GC,RSI탈출,MACD,BB회귀,STO_GC,피보나치",TOP5 1/5 배분,458000.0,,
2025-07-02,BUY,068270,셀트리온,3,152504.76766057496,5.0,"BB회귀,W패턴,200일선,STO_GC,피보나치",TOP5 1/5 배분,457514.30298172485,,
2025-07-02,BUY,005490,POSCO홀딩스,1,271040.27354600694,4.0,"BB회귀,W패턴,200일선,피보나치",TOP5 1/5 배분,271040.27354600694,,
2025-07-02,BUY,051910,LG화학,2,225549.52024739582,3.0,"BB회귀,W패턴,피보나치",TOP5 1/5 배분,451099.04049479164,,
2025-07-23,SELL,051910,LG화학,2,294108.61340206186,,,익절+30%(익일시가),,30.39647039792701,14.0
2025-07-23,BUY,017670,SK텔레콤,5,55291.125,4.0,"GC,BB회귀,W패턴,200일선",TOP5 1/5 배분,276455.625,,
2025-07-23,BUY,006400,삼성SDI,1,184000.0,3.0,"MACD,W패턴,STO_GC",TOP5 1/5 배분,184000.0,,
2025-07-23,BUY,015760,한국전력,8,36404.55018187831,2.0,"RSI탈출,BB회귀",TOP5 1/5 배분,291236.40145502647,,
2025-07-28,SELL,000660,SK하이닉스,6,259913.89569417937,,,손절(갭)-10.3%,,-10.309286355687597,19.0
2025-07-28,BUY,015760,한국전력,12,38147.32300172739,4.0,"GC,RSI탈출,BB회귀,W패턴",TOP5 1/5 배분,457767.87602072867,,
2025-07-28,BUY,005380,현대차,2,215148.74410040045,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,430297.4882008009,,
2025-07-28,BUY,000270,기아,4,101829.74808945498,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,407318.9923578199,,
2025-07-28,BUY,035420,NAVER,1,233546.7242569002,3.0,"BB회귀,STO_GC,피보나치",TOP5 1/5 배분,233546.7242569002,,
2025-07-30,SELL,373220,LG에너지솔루션,6,390500.0,,,익절+30%(익일시가),,31.703204047217536,20.0
2025-07-30,BUY,000270,기아,6,100584.41533627718,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,603506.4920176631,,
2025-07-30,BUY,005380,현대차,2,209320.80325112108,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,418641.60650224215,,
2025-07-30,BUY,373220,LG에너지솔루션,1,390500.0,3.0,"BB회귀,거래량돌파,W패턴",TOP5 1/5 배분,390500.0,,
