date,portfolio,n_pos,cash
2024-01-03,9869188.28552819,7,583305.3050594395
2024-01-04,9888379.71521569,7,583305.3050594395
2024-01-05,9793070.23474694,7,583305.3050594395
2024-01-08,9817953.21912194,7,583305.3050594395
2024-01-09,9803389.62146569,7,583305.3050594395
2024-01-10,9743443.87927819,7,583305.3050594395
2024-01-11,9825063.28162194,7,583305.3050594395
2024-01-12,9826768.65662194,7,583305.3050594395
2024-01-15,9842600.89880944,7,583305.3050594395
2024-01-16,9761713.00037194,7,583305.3050594395
2024-01-17,9582827.94835369,10,343793.42100994004
2024-01-18,9489044.176869314,10,343793.42100994004
2024-01-19,9513753.044029972,12,439346.14949872205
2024-01-22,9496058.577402841,15,621599.2063090925
2024-01-23,9568135.161387216,15,621599.2063090925
2024-01-24,9533161.288340341,15,621599.2063090925
2024-01-25,9568248.317637216,15,621599.2063090925
2024-01-26,9587983.928965341,15,621599.2063090925
2024-01-29,9677152.262949716,15,621599.2063090925
2024-01-30,9695531.442637216,15,621599.2063090925
2024-01-31,9783984.7478421,17,479425.06815460057
2024-02-01,9949440.363076475,17,479425.06815460057
2024-02-02,10169955.39513656,16,471158.94005843427
2024-02-05,10072988.7827582,15,886970.728070701
2024-02-06,10011013.857953513,15,886970.728070701
2024-02-07,10045539.313031638,15,886970.728070701
2024-02-08,10057753.617719138,15,886970.728070701
2024-02-13,10172750.16272327,14,1389194.0494420198
2024-02-14,10076649.254520144,14,1389194.0494420198
2024-02-15,10207545.866824832,14,1389194.0494420198
2024-02-16,10281014.961551394,14,1389194.0494420198
2024-02-19,10383304.249637332,14,1389194.0494420198
2024-02-20,10378394.98770602,14,869663.1410263337
2024-02-21,10350006.377354458,14,869663.1410263337
2024-02-22,10357236.83145602,14,869663.1410263337
2024-02-23,10368174.184971645,14,869663.1410263337
2024-02-26,10309796.189854458,14,869663.1410263337
2024-02-27,10262259.812901333,14,869663.1410263337
2024-02-28,10283805.949620083,14,869663.1410263337
2024-02-29,10222224.485752895,14,869663.1410263337
2024-03-04,10221268.910557583,14,869663.1410263337
2024-03-05,10165374.211338833,14,869663.1410263337
2024-03-06,10153854.592997653,14,821686.1476851535
2024-03-07,10191289.163310153,14,821686.1476851535
2024-03-08,10366117.050028903,14,821686.1476851535
2024-03-11,10306580.73026389,13,854955.1287013907
2024-03-12,10401926.73807639,13,854955.1287013907
2024-03-13,10439417.47245139,13,854955.1287013907
2024-03-14,10610225.82010764,13,854955.1287013907
2024-03-15,10404132.534950549,12,338446.523231799
2024-03-18,10440599.827919299,12,338446.523231799
2024-03-19,10382561.906044299,12,338446.523231799
2024-03-20,10447912.952919299,12,338446.523231799
2024-03-21,10594873.093544299,12,338446.523231799
2024-03-22,10520309.062294299,12,338446.523231799
2024-03-25,10498473.058388049,12,338446.523231799
2024-03-26,10590175.777138049,12,338446.523231799
2024-03-27,10581949.058388049,12,338446.523231799
2024-03-28,10600490.749794299,12,338446.523231799
2024-03-29,10546148.113075549,12,338446.523231799
2024-04-01,10490305.913856799,12,338446.523231799
2024-04-02,10416496.030585622,15,571500.278632497
2024-04-03,10262117.54914031,15,571500.278632497
2024-04-04,10434817.96710906,15,571500.278632497
2024-04-05,10389058.716132497,15,571500.278632497
2024-04-08,10408943.011054372,15,571500.278632497
2024-04-09,10358296.372382497,15,571500.278632497
2024-04-11,10250710.858842008,14,710597.3022013817
2024-04-12,10153713.184832856,14,612821.0363953571
2024-04-15,10113802.252215669,14,612821.0363953571
2024-04-16,9950986.529559419,14,612821.0363953571
2024-04-17,9884069.836394167,14,630189.8363941665
2024-04-18,9966450.86862073,14,630189.8363941665
2024-04-19,9869150.31783948,14,630189.8363941665
2024-04-22,10044502.720251147,16,294140.86282927165
2024-04-23,9933054.646032397,16,294140.86282927165
2024-04-24,10017660.137243334,16,294140.86282927165
2024-04-25,9918089.731969897,16,294140.86282927165
2024-04-26,9995599.930212084,16,294140.86282927165
2024-04-29,10116953.26419646,16,294140.86282927165
2024-04-30,10165724.231969897,16,294140.86282927165
2024-05-02,10118673.16654021,16,294140.86282927165
2024-05-03,10093457.243688647,16,294140.86282927165
2024-05-07,10301024.355016772,16,294140.86282927165
2024-05-08,10330641.147985522,16,294140.86282927165
2024-05-09,10300561.114782397,16,294140.86282927165
