date,side,tic,name,qty,price,buy_hit,reason,pnl_pct,hold_days
2024-01-03,BUY,207940,삼성바이오로직스,1,1202353.125,7.0,TOP7 1/7,,
2024-01-03,BUY,033780,KT&G,17,81409.15454671858,5.0,TOP7 1/7,,
2024-01-03,BUY,011200,HMM,72,19620.784985645707,5.0,TOP7 1/7,,
2024-01-03,BUY,373220,LG에너지솔루션,3,425500.0,4.0,TOP7 1/7,,
2024-01-03,BUY,035720,카카오,25,56872.9808414311,4.0,TOP7 1/7,,
2024-01-03,BUY,017670,SK텔레콤,31,44709.03938703141,4.0,TOP7 1/7,,
2024-01-03,BUY,012330,현대모비스,6,221995.3982142857,4.0,TOP7 1/7,,
2024-01-17,SELL,012330,현대모비스,6,199795.85839285713,,손절-10%,-9.999999999999998,10.0
2024-01-17,BUY,015760,한국전력,13,18395.46101159115,4.0,TOP7 1/7,,
2024-01-17,BUY,138040,메리츠금융지주,4,60626.09773569915,3.0,TOP7 1/7,,
2024-01-17,BUY,035420,NAVER,1,225020.91795091325,2.0,TOP7 1/7,,
2024-01-17,BUY,011200,HMM,13,19479.628887007388,2.0,TOP7 1/7,,
2024-01-17,BUY,316140,우리금융지주,24,10548.933562374497,2.0,TOP7 1/7,,
2024-01-17,BUY,017670,SK텔레콤,5,44483.69212186868,2.0,TOP7 1/7,,
2024-01-19,SELL,373220,LG에너지솔루션,3,382950.0,,손절-10%,-9.999999999999998,12.0
2024-01-19,BUY,316140,우리금융지주,20,10532.094777634707,4.0,TOP7 1/7,,
2024-01-19,BUY,017670,SK텔레콤,4,44393.54975037917,4.0,TOP7 1/7,,
2024-01-19,BUY,005930,삼성전자,3,70281.10033885542,4.0,TOP7 1/7,,
2024-01-19,BUY,138040,메리츠금융지주,3,59142.58984375,3.0,TOP7 1/7,,
2024-01-19,BUY,000660,SK하이닉스,1,136361.73812367304,3.0,TOP7 1/7,,
2024-01-19,BUY,009150,삼성전기,1,137820.74033898304,3.0,TOP7 1/7,,
2024-01-22,SELL,011200,HMM,85,17639.27676526857,,손절-10%,-9.999999999999986,13.0
2024-01-22,BUY,086790,하나금융지주,7,35410.72965909091,5.0,TOP7 1/7,,
2024-01-22,BUY,017670,SK텔레콤,6,44618.89771865521,5.0,TOP7 1/7,,
2024-01-22,BUY,000660,SK하이닉스,1,142752.1364831697,4.0,TOP7 1/7,,
2024-01-22,BUY,024110,기업은행,28,9652.544337621228,4.0,TOP7 1/7,,
2024-01-22,BUY,005380,현대차,1,159899.60914075514,4.0,TOP7 1/7,,
2024-01-22,BUY,000270,기아,3,75051.11989320526,4.0,TOP7 1/7,,
2024-01-31,SELL,035420,NAVER,1,202518.82615582194,,손절-10%,-9.999999999999998,10.0
2024-01-31,BUY,032830,삼성생명,1,60803.7353219697,8.0,TOP7 1/7,,
2024-01-31,BUY,105560,KB금융,2,49480.302720572,6.0,TOP7 1/7,,
2024-01-31,BUY,316140,우리금융지주,10,11306.63883017944,6.0,TOP7 1/7,,
2024-01-31,BUY,003550,LG,1,71375.18888147867,6.0,TOP7 1/7,,
2024-02-05,SELL,086790,하나금융지주,7,48370.09684952446,,익절+30%(익일시가),36.59728933912696,9.0
2024-02-05,SELL,000270,기아,3,102350.22115384616,,익절+30%(익일시가),36.3740092079724,9.0
2024-02-05,BUY,105560,KB금융,2,58370.588803329345,6.0,TOP7 1/7,,
2024-02-05,BUY,096770,SK이노베이션,1,122186.48013375295,5.0,TOP7 1/7,,
2024-02-06,SELL,005380,현대차,1,205246.86186305733,,익절+30%(익일시가),28.35982712276943,10.0
2024-02-06,BUY,096770,SK이노베이션,1,127097.50615687086,5.0,TOP7 1/7,,
2024-02-06,BUY,028260,삼성물산,1,143042.9093220339,5.0,TOP7 1/7,,
2024-02-06,BUY,316140,우리금융지주,12,12384.263628338264,4.0,TOP7 1/7,,
2024-02-06,BUY,024110,기업은행,13,11280.683802750566,4.0,TOP7 1/7,,
2024-02-20,SELL,138040,메리츠금융지주,7,78230.4144261137,,익절+30%(익일시가),30.40508742283872,21.0
2024-02-20,SELL,032830,삼성생명,1,78545.85708001837,,익절+30%(익일시가),29.17932864502495,11.0
2024-02-20,SELL,003550,LG,1,94767.83154681348,,익절+30%(익일시가),32.77419371061732,11.0
2024-02-20,BUY,005930,삼성전자,2,70472.34155439973,7.0,TOP7 1/7,,
2024-02-20,BUY,000660,SK하이닉스,1,147766.15210352608,5.0,TOP7 1/7,,
2024-02-20,BUY,009150,삼성전기,1,134011.3715303141,5.0,TOP7 1/7,,
2024-02-20,BUY,068270,셀트리온,1,157882.27037484245,3.0,TOP7 1/7,,
2024-02-20,BUY,011200,HMM,10,17597.53748909103,3.0,TOP7 1/7,,
2024-03-04,SELL,015760,한국전력,13,23760.803282828285,,익절+30%(익일시가),29.166663819169216,29.0
2024-03-04,BUY,005930,삼성전자,1,71046.06578563084,6.0,TOP7 1/7,,
2024-03-04,BUY,316140,우리금융지주,8,12727.425663849044,4.0,TOP7 1/7,,
2024-03-04,BUY,011200,HMM,6,17362.27810360187,3.0,TOP7 1/7,,
2024-03-04,BUY,033780,KT&G,1,84877.25830078125,2.0,TOP7 1/7,,
2024-03-11,SELL,011200,HMM,16,15758.383697579337,,손절-10%,-9.999999999999998,13.0
2024-03-11,BUY,005930,삼성전자,1,69707.39188751727,7.0,TOP7 1/7,,
2024-03-11,BUY,055550,신한지주,2,41470.28365187363,5.0,TOP7 1/7,,
2024-03-14,SELL,105560,KB금융,4,69872.10299379771,,익절+30%(익일시가),29.57167438585897,27.0
2024-03-14,BUY,005930,삼성전자,1,71141.69086473755,6.0,TOP7 1/7,,
2024-03-14,BUY,055550,신한지주,2,43669.80822208738,5.0,TOP7 1/7,,
2024-03-14,BUY,105560,KB금융,1,69872.10299379771,4.0,TOP7 1/7,,
2024-03-14,BUY,017670,SK텔레콤,2,48134.328906250004,4.0,TOP7 1/7,,
2024-03-15,SELL,024110,기업은행,41,13041.733427254097,,익절+30%(익일시가),28.25263903113946,35.0
2024-03-15,BUY,005930,삼성전자,2,70185.48227869986,6.0,TOP7 1/7,,
