date,action,reason,held,candidates,top_pick,portfolio,month
2025-06-25,매수,삼성바이오로직스,삼성바이오로직스,5,삼성바이오로직스,10035516.9676,2025-06
2025-06-26,관망,,삼성바이오로직스,2,한국전력,9989390.4676,2025-06
2025-06-27,관망,,삼성바이오로직스,1,한국전력,9961714.7176,2025-06
2025-06-30,관망,,삼성바이오로직스,1,한국전력,9924813.9676,2025-06
2025-07-01,관망,,삼성바이오로직스,2,메리츠금융지주,10026291.2176,2025-07
2025-07-02,관망,,삼성바이오로직스,4,메리츠금융지주,10081642.7176,2025-07
2025-07-03,매수,삼성바이오로직스,삼성바이오로직스,4,삼성바이오로직스,10521069.917668,2025-07
2025-07-04,매수,삼성바이오로직스,삼성바이오로직스,4,삼성바이오로직스,10443375.867492998,2025-07
2025-07-07,관망,,삼성바이오로직스,3,셀트리온,10360349.367492998,2025-07
2025-07-08,매수,셀트리온,셀트리온,4,셀트리온,10126289.873294737,2025-07
2025-07-09,관망,,셀트리온,7,고려아연,10160431.748294737,2025-07
2025-07-10,관망,,셀트리온,6,삼성바이오로직스,10302693.623294737,2025-07
2025-07-11,관망,,셀트리온,5,삼성바이오로직스,10302693.623294737,2025-07
2025-07-14,관망,,셀트리온,4,고려아연,10211646.435794737,2025-07
2025-07-15,관망,,셀트리온,4,HMM,10302693.623294737,2025-07
2025-07-16,관망,,셀트리온,1,HMM,10200265.185794737,2025-07
2025-07-17,관망,,셀트리온,0,-,10405122.998294737,2025-07
2025-07-18,관망,,셀트리온,5,삼성바이오로직스,10399432.373294737,2025-07
2025-07-21,매도,익절(갭)+5.2%,현금,0,-,10774850.353642447,2025-07
2025-07-22,매수,고려아연,고려아연,3,고려아연,10875282.946853401,2025-07
2025-07-23,관망,,고려아연,1,SK텔레콤,10773270.321853401,2025-07
2025-07-24,관망,,고려아연,5,기아,10645754.946853401,2025-07
2025-07-25,관망,,고려아연,3,삼성SDI,10658506.321853401,2025-07
2025-07-28,관망,,고려아연,3,한국전력,10633003.571853401,2025-07
2025-07-29,매수,현대차,현대차,5,현대차,10457565.248503622,2025-07
2025-07-30,매수,기아,기아,2,기아,11268130.203567088,2025-07
2025-07-31,매수,삼성전기,삼성전기,6,삼성전기,11353271.279473308,2025-07
2025-08-01,매수,카카오,카카오,5,카카오,10776393.249696454,2025-08
2025-08-04,매수,삼성전기,삼성전기,3,삼성전기,11153676.57402902,2025-08
2025-08-05,매수,삼성전기,삼성전기,5,삼성전기,11523459.497297406,2025-08
2025-08-06,관망,,삼성전기,10,삼성전기,11516126.559797406,2025-08
2025-08-07,매수,KB금융,KB금융,7,KB금융,11881993.931802558,2025-08
2025-08-08,관망,,KB금융,6,카카오,11821958.181802558,2025-08
2025-08-11,관망,,KB금융,4,카카오,11739149.822427558,2025-08
2025-08-12,관망,,KB금융,4,카카오,11884064.244302558,2025-08
2025-08-13,관망,,KB금융,9,KT&G,11935819.572427558,2025-08
2025-08-14,관망,,KB금융,10,SK하이닉스,11790904.322427558,2025-08
2025-08-18,매수,우리금융지주,우리금융지주,11,우리금융지주,11328041.106341062,2025-08
2025-08-19,관망,,우리금융지주,5,NAVER,11328041.106341062,2025-08
2025-08-20,매수,현대차,현대차,8,현대차,11241669.15760094,2025-08
2025-08-21,관망,,현대차,6,메리츠금융지주,11292177.40760094,2025-08
2025-08-22,관망,,현대차,5,현대차,11216414.22010094,2025-08
2025-08-25,관망,,현대차,9,메리츠금융지주,11317433.15760094,2025-08
2025-08-26,관망,,현대차,12,현대차,11140651.03260094,2025-08
2025-08-27,관망,,현대차,5,SK하이닉스,11216414.22010094,2025-08
2025-08-28,매수,SK텔레콤,SK텔레콤,9,SK텔레콤,11424860.591580018,2025-08
2025-08-29,관망,,SK텔레콤,9,SK,11279770.505642518,2025-08
2025-09-01,관망,,SK텔레콤,5,기아,11404133.669705018,2025-09
2025-09-02,관망,,SK텔레콤,6,LG,11383406.747830018,2025-09
2025-09-03,관망,,SK텔레콤,8,NAVER,11321224.349392518,2025-09
2025-09-04,관망,,SK텔레콤,10,LG,11383406.747830018,2025-09
2025-09-05,관망,,SK텔레콤,14,LG,11404133.669705018,2025-09
2025-09-08,관망,,SK텔레콤,8,NAVER,11259042.767361268,2025-09
2025-09-09,관망,,SK텔레콤,9,LG,11279770.505642518,2025-09
2025-09-10,관망,,SK텔레콤,13,SK이노베이션,11404133.669705018,2025-09
2025-09-11,관망,,SK텔레콤,16,NAVER,11424860.591580018,2025-09
2025-09-12,관망,,SK텔레콤,15,삼성바이오로직스,11466315.251736268,2025-09
2025-09-15,관망,,SK텔레콤,15,삼성전자,11341952.087673768,2025-09
2025-09-16,관망,,SK텔레콤,11,삼성바이오로직스,11341952.087673768,2025-09
2025-09-17,관망,,SK텔레콤,12,우리금융지주,11528496.833767518,2025-09
2025-09-18,관망,,SK텔레콤,12,POSCO홀딩스,11528496.833767518,2025-09
2025-09-22,관망,,SK텔레콤,14,KT&G,11466315.251736268,2025-09
2025-09-23,관망,,SK텔레콤,12,신한지주,11445588.329861268,2025-09
2025-09-24,관망,,SK텔레콤,9,삼성SDI,11466315.251736268,2025-09
2025-09-25,관망,,SK텔레콤,8,SK텔레콤,11487042.173611268,2025-09
2025-09-26,관망,,SK텔레콤,7,삼성SDI,11424860.591580018,2025-09
2025-09-29,관망,,SK텔레콤,2,셀트리온,11341952.087673768,2025-09
2025-09-30,관망,,SK텔레콤,8,POSCO홀딩스,11300497.427517518,2025-09
2025-10-01,관망,,SK텔레콤,1,셀트리온,11321224.349392518,2025-10
2025-10-02,관망,,SK텔레콤,4,셀트리온,11321224.349392518,2025-10
2025-10-10,관망,,SK텔레콤,10,SK이노베이션,11362679.009548768,2025-10
2025-10-13,관망,,SK텔레콤,3,삼성SDI,11300497.427517518,2025-10
2025-10-14,관망,,SK텔레콤,10,SK이노베이션,11155407.341580018,2025-10
2025-10-15,관망,,SK텔레콤,11,POSCO홀딩스,11259042.767361268,2025-10
2025-10-16,관망,,SK텔레콤,14,SK이노베이션,11404133.669705018,2025-10
2025-10-17,관망,,SK텔레콤,18,기아,11341952.087673768,2025-10
2025-10-20,관망,,SK텔레콤,11,기아,11341952.087673768,2025-10
2025-10-21,관망,,SK텔레콤,20,메리츠금융지주,11300497.427517518,2025-10
2025-10-22,관망,,SK텔레콤,15,기아,11362679.009548768,2025-10
2025-10-23,관망,,SK텔레콤,18,메리츠금융지주,11279770.505642518,2025-10
2025-10-24,관망,,SK텔레콤,6,LG,11196861.185330018,2025-10
2025-10-27,관망,,SK텔레콤,16,하나금융지주,11196861.185330018,2025-10
2025-10-28,관망,,SK텔레콤,13,메리츠금융지주,11196861.185330018,2025-10
2025-10-29,관망,,SK텔레콤,5,카카오,11259042.767361268,2025-10
2025-10-30,매수,카카오,카카오,5,카카오,10345680.141196404,2025-10
2025-10-31,매수,HMM,HMM,3,HMM,10491272.398298543,2025-10
2025-11-03,관망,,HMM,4,카카오,10338182.769392293,2025-11
2025-11-04,관망,,HMM,3,NAVER,10312667.660017293,2025-11
2025-11-05,매수,SK텔레콤,SK텔레콤,5,SK텔레콤,10235996.094599834,2025-11
2025-11-06,관망,,SK텔레콤,3,NAVER,10390706.504756084,2025-11
2025-11-07,관망,,SK텔레콤,8,SK텔레콤,10371367.989131084,2025-11
2025-11-10,매수,카카오,카카오,3,카카오,10276731.880030552,2025-11
2025-11-11,매수,SK텔레콤,SK텔레콤,7,SK텔레콤,10786298.016973536,2025-11
2025-11-12,관망,,SK텔레콤,4,SK텔레콤,10766462.860723536,2025-11
2025-11-13,관망,,SK텔레콤,9,KT&G,10766462.860723536,2025-11
2025-11-14,관망,,SK텔레콤,6,메리츠금융지주,10726794.110723536,2025-11
2025-11-17,관망,,SK텔레콤,5,KT&G,10667290.204473536,2025-11
2025-11-18,관망,,SK텔레콤,5,기아,10488777.704473536,2025-11
2025-11-19,관망,,SK텔레콤,1,셀트리온,10627620.673223536,2025-11
2025-11-20,관망,,SK텔레콤,9,SK텔레콤,10627620.673223536,2025-11
2025-11-21,관망,,SK텔레콤,3,셀트리온,10627620.673223536,2025-11
2025-11-24,관망,,SK텔레콤,4,셀트리온,10766462.860723536,2025-11
2025-11-25,관망,,SK텔레콤,3,SK텔레콤,10647455.048223536,2025-11
2025-11-26,관망,,SK텔레콤,5,삼성전자,10766462.860723536,2025-11
2025-11-27,관망,,SK텔레콤,10,삼성전기,10627620.673223536,2025-11
2025-11-28,관망,,SK텔레콤,4,현대모비스,10647455.048223536,2025-11
2025-12-01,관망,,SK텔레콤,3,현대모비스,10647455.048223536,2025-12
2025-12-02,관망,,SK텔레콤,8,우리금융지주,10627620.673223536,2025-12
2025-12-03,관망,,SK텔레콤,14,우리금융지주,10726794.110723536,2025-12
2025-12-04,관망,,SK텔레콤,14,삼성생명,10786298.016973536,2025-12
2025-12-05,관망,,SK텔레콤,13,현대차,10825966.766973536,2025-12
2025-12-08,관망,,SK텔레콤,15,현대차,10726794.110723536,2025-12
2025-12-09,관망,,SK텔레콤,14,삼성SDI,10746628.485723536,2025-12
