date,side,tic,name,qty,price,buy_hit,sell_hit,signals,reason,pnl_pct,hold_days
2025-06-25,BUY,207940,삼성바이오로직스,6,1537536.0,7.0,3.0,"지지반등,RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2025-07-03,SELL,207940,삼성바이오로직스,6,1583662.08,,,,익절+3%,3.0000000000000027,6.0
2025-07-03,BUY,207940,삼성바이오로직스,6,1560599.0,7.0,1.0,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",매수7개 1위,,
2025-07-04,SELL,207940,삼성바이오로직스,6,1619025.375,,,,익절(갭)+3.7%,3.743842909036843,1.0
2025-07-04,BUY,207940,삼성바이오로직스,6,1619025.375,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2025-07-08,SELL,207940,삼성바이오로직스,6,1570454.61375,,,,손절-3%,-3.0000000000000027,2.0
2025-07-08,BUY,068270,셀트리온,60,168817.4700825024,5.0,3.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2025-07-21,SELL,068270,셀트리온,60,177637.69989390037,,,,익절(갭)+5.2%,5.22471389192567,9.0
2025-07-22,BUY,010130,고려아연,13,810214.7586930456,5.0,2.0,"MACD,BB회귀,W패턴,STO_GC,피보나치",매수5개 1위,,
2025-07-29,SELL,010130,고려아연,13,785908.3159322542,,,,손절-3%,-3.0000000000000027,5.0
2025-07-29,BUY,005380,현대차,49,211263.46186926606,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2025-07-30,SELL,005380,현대차,49,217601.36572534405,,,,익절+3%,3.0000000000000027,1.0
2025-07-30,BUY,000270,기아,106,100584.41533627718,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2025-07-31,SELL,000270,기아,106,107960.60799272973,,,,익절(갭)+7.3%,7.3333355190187355,1.0
2025-07-31,BUY,009150,삼성전기,77,148936.26376513112,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2025-08-01,SELL,009150,삼성전기,77,144468.1758521772,,,,손절-3%,-2.9999999999999916,1.0
2025-08-01,BUY,035720,카카오,194,57119.961064189185,4.0,0.0,"RSI탈출,BB회귀,W패턴,STO_GC",매수4개 1위,,
2025-08-04,SELL,035720,카카오,194,54923.04017655686,,,,손절(갭)-3.8%,-3.8461526350893505,1.0
2025-08-04,BUY,009150,삼성전기,74,142197.9648515469,4.0,4.0,"GC,MACD,W패턴,STO_GC",매수4개 1위,,
2025-08-05,SELL,009150,삼성전기,74,153890.9105852601,,,,익절(갭)+8.2%,8.223004981766469,1.0
2025-08-05,BUY,009150,삼성전기,74,153890.9105852601,6.0,2.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2025-08-07,SELL,009150,삼성전기,74,159638.28072681907,,,,익절(갭)+3.7%,3.734704096363606,2.0
