date,held,hold_left,top1,portfolio
2025-06-25,삼성바이오로직스,5,삼성바이오로직스,10035516.9676
2025-06-26,삼성바이오로직스,4,한국전력,9989390.4676
2025-06-27,삼성바이오로직스,3,한국전력,9961714.7176
2025-06-30,삼성바이오로직스,2,한국전력,9924813.9676
2025-07-01,삼성바이오로직스,1,메리츠금융지주,10026291.2176
2025-07-02,메리츠금융지주,5,메리츠금융지주,10081181.863562498
2025-07-03,메리츠금융지주,4,삼성바이오로직스,10115981.863562498
2025-07-04,메리츠금융지주,3,삼성바이오로직스,9863681.863562498
2025-07-07,메리츠금융지주,2,셀트리온,9959381.863562498
2025-07-08,메리츠금융지주,1,셀트리온,10046381.863562498
2025-07-09,고려아연,5,고려아연,9733917.085654471
2025-07-10,고려아연,4,삼성바이오로직스,9690757.898154471
2025-07-11,고려아연,3,삼성바이오로직스,9744706.710654471
2025-07-14,고려아연,2,고려아연,9733917.085654471
2025-07-15,고려아연,1,HMM,9593649.898154471
2025-07-16,HMM,5,HMM,9341369.256504409
2025-07-17,HMM,4,삼성바이오로직스,9359899.240879409
2025-07-18,HMM,3,삼성바이오로직스,9267250.065098159
2025-07-21,HMM,2,LG에너지솔루션,9044891.744785659
2025-07-22,HMM,1,고려아연,9026361.760410659
2025-07-23,SK텔레콤,5,SK텔레콤,9017946.413449246
2025-07-24,SK텔레콤,4,기아,8921821.913449246
2025-07-25,SK텔레콤,3,삼성SDI,8921821.913449246
2025-07-28,SK텔레콤,2,한국전력,8873759.663449246
2025-07-29,SK텔레콤,1,현대차,8857738.913449246
2025-07-30,기아,5,기아,9271504.412572993
2025-07-31,기아,4,삼성전기,8596439.467260493
2025-08-01,기아,3,카카오,8471427.264135493
2025-08-04,기아,2,삼성전기,8638110.428197993
2025-08-05,기아,1,삼성전기,8521432.553197993
2025-08-06,삼성전기,5,삼성전기,8602692.716192761
2025-08-07,삼성전기,4,KB금융,8586342.247442761
2025-08-08,삼성전기,3,카카오,8847947.169317761
2025-08-11,삼성전기,2,카카오,8831596.700567761
2025-08-12,삼성전기,1,카카오,8722594.434942761
2025-08-13,KT&G,5,KT&G,8671984.63666123
2025-08-14,KT&G,4,SK하이닉스,8427506.94134873
2025-08-18,KT&G,3,메리츠금융지주,8440044.83197373
2025-08-19,KT&G,2,NAVER,8421239.01166123
2025-08-20,KT&G,1,삼성생명,8603028.77728623
2025-08-21,메리츠금융지주,5,메리츠금융지주,9165618.40706308
2025-08-22,메리츠금융지주,4,현대차,9172718.40706308
2025-08-25,메리츠금융지주,3,메리츠금융지주,9151418.40706308
2025-08-26,메리츠금융지주,2,현대차,9030718.40706308
2025-08-27,메리츠금융지주,1,SK하이닉스,8959718.40706308
2025-08-28,SK텔레콤,5,SK텔레콤,8852245.630404202
2025-08-29,SK텔레콤,4,SK,8739783.458529202
2025-09-01,SK텔레콤,3,기아,8836179.786654202
2025-09-02,SK텔레콤,2,LG,8820113.942904202
2025-09-03,SK텔레콤,1,NAVER,8771915.146029202
2025-09-04,LG,5,LG,8800726.456726793
2025-09-05,LG,4,LG,8812292.394226793
2025-09-08,LG,3,NAVER,8846991.144226793
2025-09-09,LG,2,LG,8997349.269226793
2025-09-10,LG,1,SK이노베이션,9055178.956726793
2025-09-11,NAVER,5,NAVER,9011683.82464723
2025-09-12,NAVER,4,삼성바이오로직스,9127467.51214723
2025-09-15,NAVER,3,삼성전자,9050278.59027223
2025-09-16,NAVER,2,삼성바이오로직스,9088873.35589723
2025-09-17,NAVER,1,우리금융지주,9030981.51214723
2025-09-18,POSCO홀딩스,5,POSCO홀딩스,9083739.792266991
2025-09-22,POSCO홀딩스,4,KT&G,8989540.792266991
2025-09-23,POSCO홀딩스,3,신한지주,8926742.792266991
2025-09-24,POSCO홀딩스,2,삼성SDI,8863943.792266991
