date,side,tic,name,qty,price,buy_hit,signals,pnl_pct,hold_days,reason
2025-06-25,BUY,207940,삼성바이오로직스,6,1537536.0,7.0,"지지반등,RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2025-07-02,SELL,207940,삼성바이오로직스,6,1535998.375,,,-0.10000578848234909,5.0,5일보유 후 매도
2025-07-02,BUY,138040,메리츠금융지주,87,114500.0,6.0,"GC,RSI탈출,MACD,BB회귀,STO_GC,피보나치",,,
2025-07-09,SELL,138040,메리츠금융지주,87,114800.0,,,0.26200873362445254,5.0,5일보유 후 매도
2025-07-09,BUY,010130,고려아연,11,858278.3832796013,5.0,"MACD,BB회귀,200일선,STO_GC,피보나치",,,
2025-07-16,SELL,010130,고려아연,11,818061.8913109757,,,-4.685716517169269,5.0,5일보유 후 매도
2025-07-16,BUY,011200,HMM,382,24884.32889229911,4.0,"GC,MACD,BB회귀,W패턴",,,
2025-07-23,SELL,011200,HMM,382,23865.6725708502,,,-4.093565576382286,5.0,5일보유 후 매도
2025-07-23,BUY,017670,SK텔레콤,164,55291.125,4.0,"GC,BB회귀,W패턴,200일선",,,
2025-07-30,SELL,017670,SK텔레콤,164,53728.125,,,-2.8268551236749095,5.0,5일보유 후 매도
2025-07-30,BUY,000270,기아,87,100584.41533627718,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2025-08-06,SELL,000270,기아,87,97040.01097433694,,,-3.523810671951977,5.0,5일보유 후 매도
2025-08-06,BUY,009150,삼성전기,55,152206.33419023137,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-08-13,SELL,009150,삼성전기,55,158548.2658072437,,,4.1666673405891475,5.0,5일보유 후 매도
2025-08-13,BUY,033780,KT&G,65,135017.11028343023,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-08-21,SELL,033780,KT&G,65,132518.64241429613,,,-1.8504824047035684,5.0,5일보유 후 매도
2025-08-21,BUY,138040,메리츠금융지주,71,121500.0,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-08-28,SELL,138040,메리츠금융지주,71,125000.0,,,2.8806584362139898,5.0,5일보유 후 매도
2025-08-28,BUY,017670,SK텔레콤,162,54545.31783640711,6.0,"GC,RSI탈출,BB회귀,W패턴,200일선,STO_GC",,,
2025-09-04,SELL,017670,SK텔레콤,162,53751.93422931901,,,-1.4545402585564138,5.0,5일보유 후 매도
2025-09-04,BUY,003550,LG,120,72095.09453642384,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",,,
2025-09-11,SELL,003550,LG,120,75183.1484375,,,4.283306542466647,5.0,5일보유 후 매도
