종목,티커,시총,종가,3%목표가,신호수,해당신호,스캘프점수,RSI,1M,5D,ATR%,20D고점여유%,BB상단여유%,고점DD,거래량비,추세
KB금융,105560,0,170900,176027,5,"GC,MACD,BB회귀,W패턴,STO_GC",79,48.8,-0.4,11.2,5.08,6.9,1.7,-0.6,0.75,단기↑
기아,000270,0,160700,165521,6,"RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",77,43.2,-0.2,14.3,5.17,14.6,9.4,-18.6,1.19,단기↓
신한지주,055550,0,107700,110931,5,"GC,RSI탈출,MACD,BB회귀,STO_GC",76,51.5,0.2,11.7,4.81,2.9,1.1,0.0,1.02,단기↑
하나금융지주,086790,0,124800,128544,4,"GC,MACD,W패턴,STO_GC",71,40.9,1.0,8.7,4.87,9.0,5.8,-5.5,0.65,단기↑
메리츠금융지주,138040,0,112400,115772,4,"GC,MACD,W패턴,STO_GC",71,46.2,4.8,8.0,4.23,9.2,3.1,-23.1,0.77,단기↑
셀트리온,068270,0,175900,181177,3,"GC,MACD,STO_GC",52,51.0,2.6,-1.8,5.5,14.8,3.8,-25.7,0.83,단기↑
삼성전자,005930,0,318000,327540,3,"GC,BB회귀,STO_GC",47,44.9,-3.3,-1.5,8.43,17.8,16.9,-12.3,0.86,단기↓
삼성바이오로직스,207940,0,1405000,1447150,2,"GC,STO_GC",44,55.8,4.9,-3.0,5.98,18.1,4.4,-28.5,0.56,단기↑
KT&G,033780,0,172600,177778,2,"W패턴,STO_GC",30,36.9,-3.7,-0.1,4.15,11.5,11.4,-8.7,0.35,단기↓
현대차,005380,0,502000,517060,3,"BB회귀,STO_GC,피보나치",27,20.6,-28.3,1.0,7.08,56.0,35.7,-33.1,0.52,단기↓
현대모비스,012330,0,515000,530450,3,"BB회귀,W패턴,STO_GC",27,20.8,-26.1,2.6,7.89,59.6,30.1,-32.9,0.6,단기↓
SK하이닉스,000660,0,2343000,2413290,1,STO_GC,26,49.2,13.2,-10.8,11.43,27.5,28.2,-19.7,0.87,단기↓
삼성생명,032830,0,393500,405305,1,STO_GC,26,42.8,-4.6,-3.7,9.26,31.3,23.9,-20.8,0.56,단기↓
카카오,035720,0,35600,36668,3,"MACD,BB회귀,STO_GC",26,31.4,-11.6,-0.7,5.64,43.8,19.1,-49.4,0.63,단기↓
NAVER,035420,0,196600,202498,3,"지지반등,BB회귀,STO_GC",21,17.9,-23.1,-3.6,5.87,54.6,32.8,-31.6,0.36,단기↓
POSCO홀딩스,005490,0,321500,331145,2,"BB회귀,STO_GC",13,28.1,-17.6,-3.5,6.17,67.8,25.0,-39.6,0.42,단기↓
LG,003550,0,101200,104236,1,STO_GC,11,28.6,-17.7,0.4,6.18,83.7,16.8,-39.0,0.44,단기↓
LG에너지솔루션,373220,0,354500,365135,1,STO_GC,9,38.8,-14.4,-11.5,7.78,40.3,21.7,-31.0,0.64,단기↓
삼성SDI,006400,0,451500,465045,1,STO_GC,9,35.1,-20.5,-11.8,8.96,60.1,26.7,-36.6,0.56,단기↓
LG화학,051910,0,276500,284795,1,STO_GC,5,24.7,-20.8,-10.2,8.27,58.2,36.2,-35.6,0.44,단기↓
