date,buy_sig,sell_sig,buy_list,sell_list,action,reason,cash,shares,close,portfolio
2025-06-24,1,1,BB회귀,STO_DC,관망,매수1/매도1,10000000.0,0,59451.42578125,10000000.0
2025-06-25,3,1,"BB회귀,거래량돌파,W패턴",STO_DC,관망,매수3/매도1,10000000.0,0,60237.55859375,10000000.0
2025-06-26,1,4,W패턴,"저항거부,RSI이탈,BB거부,STO_DC",관망,매수1/매도4,10000000.0,0,59156.625,10000000.0
2025-06-27,2,1,"BB회귀,W패턴",STO_DC,관망,매수2/매도1,10000000.0,0,60112.6953125,10000000.0
2025-06-30,1,4,W패턴,"저항거부,RSI이탈,BB거부,STO_DC",관망,매수1/매도4,10000000.0,0,59124.0,10000000.0
2025-07-01,2,2,"BB회귀,W패턴","M패턴,STO_DC",관망,매수2/매도2,10000000.0,0,59519.4765625,10000000.0
2025-07-02,2,1,"BB회귀,W패턴",STO_DC,관망,매수2/매도1,10000000.0,0,60112.6953125,10000000.0
2025-07-03,3,1,"BB회귀,거래량돌파,W패턴",STO_DC,관망,매수3/매도1,10000000.0,0,63078.78125,10000000.0
2025-07-04,1,2,W패턴,"저항거부,STO_DC",관망,매수1/매도2,10000000.0,0,62584.43359375,10000000.0
2025-07-07,1,4,W패턴,"저항거부,RSI이탈,BB거부,STO_DC",관망,매수1/매도4,10000000.0,0,61002.51953125,10000000.0
2025-07-08,1,3,W패턴,"RSI이탈,BB거부,STO_DC",관망,매수1/매도3,10000000.0,0,60705.9140625,10000000.0
2025-07-09,1,4,W패턴,"RSI이탈,MACD,BB거부,STO_DC",관망,매수1/매도4,10000000.0,0,59717.21484375,10000000.0
2025-07-10,2,2,"BB회귀,W패턴","MACD,STO_DC",관망,매수2/매도2,10000000.0,0,60310.43359375,10000000.0
2025-07-11,1,2,BB회귀,"MACD,STO_DC",관망,매수1/매도2,10000000.0,0,61892.34765625,10000000.0
2025-07-14,1,4,MACD,"RSI이탈,MACD,BB거부,STO_DC",관망,매수1/매도4,10000000.0,0,61793.4765625,10000000.0
2025-07-15,3,2,"MACD,BB회귀,W패턴","MACD,STO_DC",관망,매수3/매도2,10000000.0,0,62979.9140625,10000000.0
2025-07-16,3,2,"MACD,BB회귀,W패턴","MACD,STO_DC",관망,매수3/매도2,10000000.0,0,63968.609375,10000000.0
2025-07-17,4,2,"MACD,BB회귀,거래량돌파,W패턴","MACD,STO_DC",매수,매수4/매도2,62117.32106638886,150,65946.0,9954017.321066389
2025-07-18,3,2,"MACD,BB회귀,W패턴","MACD,STO_DC",관망,매수3/매도2,62117.32106638886,150,66341.484375,10013339.977316389
2025-07-21,3,2,"MACD,BB회귀,W패턴","MACD,STO_DC",관망,매수3/매도2,62117.32106638886,150,67033.5625,10117151.696066389
2025-07-22,2,4,"MACD,W패턴","저항거부,MACD,BB거부,STO_DC",매도,"매도신호4개(저항거부,MACD,BB거부,STO_DC)",9858756.887950446,0,65253.9140625,9858756.887950446
2025-07-23,3,1,"MACD,BB회귀,W패턴",STO_DC,관망,매수3/매도1,9858756.887950446,0,65649.390625,9858756.887950446
2025-07-24,2,4,"MACD,W패턴","저항거부,RSI이탈,BB거부,STO_DC",관망,매수2/매도4,9858756.887950446,0,65253.9140625,9858756.887950446
2025-07-25,1,2,MACD,"BB거부,STO_DC",관망,매수1/매도2,9858756.887950446,0,65155.046875,9858756.887950446
2025-07-28,2,1,"BB회귀,거래량돌파",STO_DC,관망,매수2/매도1,9858756.887950446,0,69604.171875,9858756.887950446
2025-07-29,2,1,"BB회귀,거래량돌파",STO_DC,관망,매수2/매도1,9858756.887950446,0,69801.9140625,9858756.887950446
2025-07-30,1,1,BB회귀,STO_DC,관망,매수1/매도1,9858756.887950446,0,71779.3046875,9858756.887950446
2025-07-31,0,3,,"저항거부,BB거부,STO_DC",관망,매수0/매도3,9858756.887950446,0,70592.8671875,9858756.887950446
2025-08-01,0,3,,"저항거부,BB거부,STO_DC",관망,매수0/매도3,9858756.887950446,0,68121.125,9858756.887950446
2025-08-04,1,1,BB회귀,STO_DC,관망,매수1/매도1,9858756.887950446,0,68912.09375,9858756.887950446
2025-08-05,1,1,BB회귀,STO_DC,관망,매수1/매도1,9858756.887950446,0,69109.828125,9858756.887950446
2025-08-06,0,4,,"RSI이탈,MACD,BB거부,STO_DC",관망,매수0/매도4,9858756.887950446,0,68022.2578125,9858756.887950446
2025-08-07,1,2,BB회귀,"MACD,STO_DC",관망,매수1/매도2,9858756.887950446,0,69703.0390625,9858756.887950446
2025-08-08,2,2,"BB회귀,W패턴","MACD,STO_DC",관망,매수2/매도2,9858756.887950446,0,70988.3515625,9858756.887950446
2025-08-11,1,4,W패턴,"저항거부,MACD,BB거부,STO_DC",관망,매수1/매도4,9858756.887950446,0,70197.390625,9858756.887950446
2025-08-12,2,2,"BB회귀,W패턴","MACD,STO_DC",관망,매수2/매도2,9858756.887950446,0,70296.265625,9858756.887950446
2025-08-13,2,2,"BB회귀,W패턴","MACD,STO_DC",관망,매수2/매도2,9858756.887950446,0,71087.2109375,9858756.887950446
2025-08-14,1,5,W패턴,"저항거부,MACD,BB거부,M패턴,STO_DC",관망,매수1/매도5,9858756.887950446,0,70790.609375,9858756.887950446
2025-08-18,0,5,,"RSI이탈,MACD,BB거부,M패턴,STO_DC",관망,매수0/매도5,9858756.887950446,0,69208.6953125,9858756.887950446
2025-08-19,0,3,,"MACD,M패턴,STO_DC",관망,매수0/매도3,9858756.887950446,0,69208.6953125,9858756.887950446
2025-08-20,2,3,"BB회귀,W패턴","MACD,M패턴,STO_DC",관망,매수2/매도3,9858756.887950446,0,69703.0390625,9858756.887950446
2025-08-21,2,2,"BB회귀,W패턴","M패턴,STO_DC",관망,매수2/매도2,9858756.887950446,0,69801.9140625,9858756.887950446
2025-08-22,2,2,"BB회귀,W패턴","M패턴,STO_DC",관망,매수2/매도2,9858756.887950446,0,70592.8671875,9858756.887950446
2025-08-25,1,1,W패턴,STO_DC,관망,매수1/매도1,9858756.887950446,0,70691.734375,9858756.887950446
2025-08-26,0,4,,"RSI이탈,BB거부,M패턴,STO_DC",관망,매수0/매도4,9858756.887950446,0,69505.3046875,9858756.887950446
2025-08-27,1,2,BB회귀,"M패턴,STO_DC",관망,매수1/매도2,9858756.887950446,0,69801.9140625,9858756.887950446
2025-08-28,0,4,,"RSI이탈,BB거부,M패턴,STO_DC",관망,매수0/매도4,9858756.887950446,0,68813.21875,9858756.887950446
2025-08-29,1,3,BB회귀,"DC,M패턴,STO_DC",관망,매수1/매도3,9858756.887950446,0,68912.09375,9858756.887950446
2025-09-01,0,4,,"DC,BB거부,M패턴,STO_DC",관망,매수0/매도4,9858756.887950446,0,66835.828125,9858756.887950446
2025-09-02,3,3,"RSI탈출,BB회귀,STO_GC","DC,M패턴,STO_DC",관망,매수3/매도3,9858756.887950446,0,68318.8671875,9858756.887950446
2025-09-03,4,3,"RSI탈출,BB회귀,W패턴,STO_GC","DC,M패턴,STO_DC",관망,매수4/매도3,9858756.887950446,0,69010.953125,9858756.887950446
2025-09-04,4,3,"RSI탈출,BB회귀,W패턴,STO_GC","DC,M패턴,STO_DC",관망,매수4/매도3,9858756.887950446,0,69307.5625,9858756.887950446
2025-09-05,2,4,"W패턴,STO_GC","DC,BB거부,M패턴,STO_DC",관망,매수2/매도4,9858756.887950446,0,68714.34375,9858756.887950446
2025-09-08,4,3,"RSI탈출,BB회귀,W패턴,STO_GC","DC,M패턴,STO_DC",관망,매수4/매도3,9858756.887950446,0,69307.5625,9858756.887950446
2025-09-09,4,1,"RSI탈출,BB회귀,W패턴,STO_GC",DC,매수,매수4/매도1,60895.38278502226,138,70691.734375,9816354.726535022
2025-09-10,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",DC,관망,매수5/매도1,60895.38278502226,138,71779.3046875,9966439.429660022
2025-09-11,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",DC,매도,익절+3.9%,10217436.326520309,0,72570.2578125,10217436.326520309
2025-09-12,7,0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",,매수,매수7/매도0,64382.984877847135,133,74547.65625,9979221.266127847
2025-09-15,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",STO_DC,관망,매수5/매도1,64382.984877847135,133,75635.2109375,10123866.039565347
2025-09-16,5,1,"GC,MACD,BB회귀,거래량돌파,W패턴",STO_DC,관망,매수5/매도1,64382.984877847135,133,78502.4375,10505207.172377847
2025-09-17,3,2,"GC,MACD,W패턴","저항거부,STO_DC",관망,매수3/매도2,64382.984877847135,133,77315.9921875,10347409.945815347
2025-09-18,4,1,"GC,MACD,BB회귀,W패턴",STO_DC,매도,익절+5.6%,10758307.89659598,0,79392.2578125,10758307.89659598
2025-09-22,5,1,"GC,MACD,BB회귀,거래량돌파,W패턴",STO_DC,매수,매수5/매도1,68113.43462452851,126,82556.0859375,10470180.262749529
2025-09-23,4,1,"GC,MACD,BB회귀,W패턴",STO_DC,관망,매수4/매도1,68113.43462452851,126,83742.5234375,10619671.387749529
2025-09-24,4,1,"GC,MACD,BB회귀,W패턴",STO_DC,관망,매수4/매도1,68113.43462452851,126,84434.609375,10706874.215874529
2025-09-25,3,1,"MACD,BB회귀,W패턴",STO_DC,관망,매수3/매도1,68113.43462452851,126,85126.6953125,10794077.043999529
2025-09-26,1,3,W패턴,"저항거부,BB거부,STO_DC",관망,매수1/매도3,68113.43462452851,126,82358.34375,10445264.747124529
2025-09-29,2,2,"BB회귀,W패턴","M패턴,STO_DC",관망,매수2/매도2,68113.43462452851,126,83619.59375,10604182.247124529
2025-09-30,0,4,,"저항거부,BB거부,M패턴,STO_DC",매도,"매도신호4개(저항거부,BB거부,M패턴,STO_DC)",10668933.581604071,0,83321.6640625,10668933.581604071
2025-10-01,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,85407.1875,10668933.581604071
2025-10-02,2,1,"BB회귀,거래량돌파",STO_DC,관망,매수2/매도1,10668933.581604071,0,89131.3359375,10668933.581604071
2025-10-10,2,1,"BB회귀,거래량돌파",STO_DC,관망,매수2/매도1,10668933.581604071,0,93749.28125,10668933.581604071
2025-10-13,0,3,,"저항거부,BB거부,STO_DC",관망,매수0/매도3,10668933.581604071,0,92656.8671875,10668933.581604071
2025-10-14,0,3,,"저항거부,BB거부,STO_DC",관망,매수0/매도3,10668933.581604071,0,90968.5859375,10668933.581604071
2025-10-15,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,94345.1484375,10668933.581604071
2025-10-16,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,97026.5390625,10668933.581604071
2025-10-17,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,97225.1640625,10668933.581604071
2025-10-20,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,97423.78125,10668933.581604071
2025-10-21,0,3,,"저항거부,BB거부,STO_DC",관망,매수0/매도3,10668933.581604071,0,96827.9140625,10668933.581604071
2025-10-22,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,97920.328125,10668933.581604071
2025-10-23,0,4,,"저항거부,BB거부,M패턴,STO_DC",관망,매수0/매도4,10668933.581604071,0,95834.8125,10668933.581604071
2025-10-24,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,98118.953125,10668933.581604071
2025-10-27,1,1,BB회귀,STO_DC,관망,매수1/매도1,10668933.581604071,0,101296.8984375,10668933.581604071
