date,side,price,qty,buy_sig,sell_sig,reason,pnl_pct
2025-07-18,BUY,66242.61480067064,150,4,2,매수4/매도2,
2025-07-23,SELL,65451.65149661144,150,2,4,"매도신호4개(저항거부,MACD,BB거부,STO_DC)",-1.1940399793082812
2025-09-10,BUY,70988.34816201791,138,4,1,매수4/매도1,
2025-09-12,SELL,73756.69968501326,138,6,1,익절+3.9%,3.8997266377815976
2025-09-15,BUY,76327.29783496732,133,7,0,매수7/매도0,
2025-09-22,SELL,80578.69465755987,133,4,1,익절+5.6%,5.569955891514455
2025-09-23,BUY,84830.08867694806,126,5,1,매수5/매도1,
2025-10-01,SELL,84314.76998546511,126,0,4,"매도신호4개(저항거부,BB거부,M패턴,STO_DC)",-0.6074715935349251
2025-11-04,BUY,111029.3433627264,96,4,2,매수4/매도2,
2025-11-05,SELL,100303.78960611332,96,2,4,손절-9.7%,-9.660107347994773
2025-11-25,BUY,100701.03214690332,95,4,1,매수4/매도1,
2025-12-03,SELL,103978.2854291268,95,5,1,익절+3.3%,3.2544386212870258
2025-12-04,BUY,103183.79529168649,95,5,1,매수5/매도1,
2025-12-08,SELL,108943.81667380137,95,4,1,익절+5.6%,5.5822926127422345
2025-12-29,BUY,119153.37842573223,87,4,2,매수4/매도2,
2026-01-05,SELL,134321.9793627806,87,3,1,익절+12.7%,12.730315445065532
2026-01-06,BUY,135020.5297651188,86,4,1,매수4/매도1,
2026-01-07,SELL,143203.6018949468,86,4,1,익절+6.1%,6.060613259378589
2026-02-13,BUY,179129.230218681,69,4,2,매수4/매도2,
2026-02-19,SELL,187611.67796052631,69,2,2,익절+4.7%,4.735378883440711
2026-04-09,BUY,207000.0,62,4,0,매수4/매도0,
2026-04-13,SELL,198200.0,62,4,1,손절-4.3%,-4.251207729468598
2026-04-15,BUY,215000.0,57,4,1,매수4/매도1,
2026-04-23,SELL,223000.0,57,0,3,익절+3.7%,3.7209302325581506
2026-06-19,BUY,372500.0,34,4,1,매수4/매도1,
2026-06-22,SELL,343000.0,34,2,4,손절-7.9%,-7.9194630872483245
