종목,티커,계좌,평가액,종가,신호수,해당신호,RSI,고점DD,1M,추세
TIGER 미배당다우커버드콜2호(DC),458760,DC,106786190,11695,3,"GC,MACD,W패턴",59.7,-0.1,0.6,단기↑
TIGER미국테크TOP10커버드콜(개인연금),474220,개인연금1,52160000,15945,4,"GC,MACD,W패턴,STO_GC",48.9,-5.5,-4.6,단기↑
TIGER 미배당다우커버드콜2호(개인연금),458760,개인연금1,46267550,11695,3,"GC,MACD,W패턴",59.7,-0.1,0.6,단기↑
SOL미국배당미국채혼합50,490490,DC,45183325,12070,3,"MACD,BB회귀,W패턴",61.1,-0.5,-0.2,단기↑
삼성전자,005930,일반계좌,35046000,318000,3,"GC,BB회귀,STO_GC",44.9,-12.3,-3.3,단기↓
TIGER 미국배당다우존스타겟데일리커버드콜,0008S0,DC,31110000,10675,3,"GC,MACD,W패턴",57.1,-0.4,-0.4,단기↑
KODEX 미국AI테크TOP10타겟커버드콜,483280,개인연금1,28750135,12670,4,"GC,MACD,W패턴,STO_GC",44.6,-7.1,-6.2,단기↑
KODEX금융고배당TOP10타겟위클리커버드콜,498410,DC,27763360,12050,8,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",45.0,-16.7,-1.1,단기↑
TIGER 미국테크TOP10채권혼합,472170,DC,25738515,14285,4,"GC,MACD,W패턴,STO_GC",44.1,-3.7,-3.0,단기↑
KODEX iShares미국하이일드액티브,468380,DC,24390000,12190,2,"BB회귀,W패턴",63.2,-1.4,-0.1,단기↑
"KODEX 미국30년국채타겟커버드콜(합성H), DC",481060,DC,23868000,7745,1,W패턴,50.0,-10.5,0.0,단기↑
TIGER 미배당다우커버드콜2호(ISA),458760,ISA,22123990,11695,3,"GC,MACD,W패턴",59.7,-0.1,0.6,단기↑
TIGER미국테크TOP10커버드콜(ISA),474220,ISA,20800000,15945,4,"GC,MACD,W패턴,STO_GC",48.9,-5.5,-4.6,단기↑
TIGER리츠부동산인프라,329200,DC,20475000,4060,5,"BB회귀,W패턴,200일선,STO_GC,피보나치",42.0,-16.2,6.1,단기↓
SOL 미국배당다우존스,446720,개인연금1,18753000,14460,3,"GC,BB회귀,W패턴",60.2,-0.4,-0.4,단기↑
SOL 미국 S&P500 (삼성개인연금),433330,개인연금1,17533460,23795,4,"GC,MACD,BB회귀,W패턴",53.3,-1.2,-1.1,단기↑
ACE미국나스닥100미국채혼합50액티브,438100,IRP,13462270,16820,1,W패턴,48.5,-2.5,-1.4,단기↑
ACE 미국나스닥100,367380,개인연금2,11868870,34460,2,"GC,W패턴",44.8,-3.5,-2.3,단기↑
TIGER 미국나스닥100,133690,IRP,11646810,200575,2,"GC,W패턴",45.0,-3.5,-2.4,단기↑
ACE테슬라밸류체인액티브,457480,ISA,11442750,22440,4,"BB회귀,200일선,STO_GC,피보나치",37.6,-12.1,-7.2,단기↓
TIGER 미국테크TOP10 INDXX,381170,IRP,10633160,32595,4,"GC,MACD,W패턴,STO_GC",44.4,-7.6,-6.5,단기↑
KODEX 미국나스닥100,379810,DC,9822600,30020,2,"GC,W패턴",44.8,-3.5,-2.4,단기↑
SOL 미국 30년국채커버드콜(합성),473330,ISA,9033600,9285,2,"BB회귀,200일선",59.1,-2.3,0.1,단기↑
SOL 미국 S&P500 (미래에셋IRP),433330,IRP,8884880,23795,4,"GC,MACD,BB회귀,W패턴",53.3,-1.2,-1.1,단기↑
아이온큐,IONQ,,7874176,50,5,"RSI탈출,BB회귀,200일선,STO_GC,피보나치",38.1,-39.0,-26.6,단기↓
테슬라,TSLA,직투,7353669,394,6,"GC,RSI탈출,MACD,BB회귀,STO_GC,피보나치",45.6,-19.6,-7.0,단기↑
TIGER미국S&P500,360750,개인연금2,6209745,28555,3,"GC,MACD,W패턴",53.7,-1.1,-1.0,단기↑
미국S&P500타겟데일리커버드콜 ,482730,개인연금1,5514375,12995,3,"GC,BB회귀,W패턴",53.7,-0.9,-0.8,단기↑
KIWOOM 미국양자컴퓨팅,498270,ISA,5299965,17100,1,STO_GC,34.9,-10.9,-10.9,단기↓
리얼티인컴,O,직투,4885308,63,4,"GC,MACD,W패턴,STO_GC",55.3,-4.5,6.6,단기↑
애플,AAPL,,4103973,308,4,"GC,MACD,W패턴,STO_GC",61.7,-2.1,-0.6,단기↑
기업은행,024110,,3839550,21300,3,"MACD,W패턴,STO_GC",33.9,-21.9,3.1,단기↓
기아,000270,,3562700,160700,6,"RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",43.2,-18.6,-0.2,단기↓
