date,side,tic,name,qty,price,buy_hit,reason,pnl_pct,hold_days
2025-07-16,BUY,CVX,Chevron,23,144.69958560442257,3.0,TOP3 1/3,,
2025-07-16,BUY,JNJ,Johnson&Johnson,21,156.39238114827748,3.0,TOP3 1/3,,
2025-07-16,BUY,LLY,Eli Lilly,4,768.0667054453978,3.0,TOP3 1/3,,
2025-08-07,SELL,LLY,Eli Lilly,4,670.913940995567,,손절(갭)-12.6%,-12.649000895500661,16.0
2025-08-07,BUY,COST,Costco,1,970.5667434765062,9.0,TOP3 1/3,,
2025-08-07,BUY,KO,Coca-Cola,14,67.54702393506281,8.0,TOP3 1/3,,
2025-08-07,BUY,META,Meta,1,770.9631295472946,6.0,TOP3 1/3,,
2025-10-06,SELL,META,Meta,1,693.8668165925651,,손절-10%,-9.999999999999998,41.0
2025-10-06,BUY,KO,Coca-Cola,5,65.15468906219432,7.0,TOP3 1/3,,
2025-10-10,SELL,JNJ,Johnson&Johnson,21,188.7043847234836,,익절+20%(익일시가),20.6608553037956,60.0
2025-10-10,BUY,COST,Costco,1,940.4345515615572,7.0,TOP3 1/3,,
2025-10-10,BUY,MRK,Merck,17,85.9356810820413,7.0,TOP3 1/3,,
2025-10-10,BUY,KO,Coca-Cola,23,65.18408816671072,7.0,TOP3 1/3,,
2025-11-26,SELL,MRK,Merck,17,102.21596235564505,,익절+20%(익일시가),18.944728276559818,32.0
2025-11-26,BUY,PG,P&G,5,145.77943369126635,8.0,TOP3 1/3,,
2025-11-26,BUY,AVGO,Broadcom,2,383.40133753669346,6.0,TOP3 1/3,,
2025-11-26,BUY,MA,Mastercard,1,545.802863025622,6.0,TOP3 1/3,,
2025-12-15,SELL,COST,Costco,2,859.9505827671285,,손절-10%,-9.999999999999998,90.0
2025-12-15,SELL,AVGO,Broadcom,2,345.0612037830241,,손절-10%,-10.000000000000009,12.0
2025-12-15,BUY,V,Visa,2,346.3960884283587,5.0,TOP3 1/3,,
2025-12-15,BUY,MA,Mastercard,1,570.083808267288,5.0,TOP3 1/3,,
2025-12-15,BUY,HD,Home Depot,2,354.34543189824024,5.0,TOP3 1/3,,
2026-02-02,SELL,CVX,Chevron,23,170.20088372481553,,익절+20%(익일시가),17.623615170611483,137.0
2026-02-02,BUY,ABBV,AbbVie,7,222.99996920133285,6.0,TOP3 1/3,,
2026-02-02,BUY,AAPL,Apple,6,259.5477742456141,6.0,TOP3 1/3,,
2026-02-02,BUY,BRK-B,Berkshire B,3,481.29998779296875,6.0,TOP3 1/3,,
2026-02-13,SELL,KO,Coca-Cola,42,77.41445116149315,,익절+20%(익일시가),17.351105251215927,130.0
2026-02-13,BUY,LLY,Eli Lilly,1,1038.1927834268372,5.0,TOP3 1/3,,
2026-02-13,BUY,CRM,Salesforce,6,185.4961280832271,3.0,TOP3 1/3,,
2026-02-13,BUY,V,Visa,3,323.1600351388152,3.0,TOP3 1/3,,
2026-02-23,SELL,MA,Mastercard,2,502.14900208180944,,손절-10%,-9.999999999999998,58.0
2026-02-23,BUY,NVDA,NVIDIA,2,191.1668239815537,6.0,TOP3 1/3,,
2026-02-23,BUY,UNH,UnitedHealth,1,284.6979833712643,5.0,TOP3 1/3,,
2026-02-23,BUY,TSLA,Tesla,1,407.2900085449219,4.0,TOP3 1/3,,
2026-03-17,SELL,LLY,Eli Lilly,1,934.3735050841535,,손절-10%,-9.999999999999998,21.0
2026-03-17,BUY,AVGO,Broadcom,1,324.5644172389447,7.0,TOP3 1/3,,
2026-03-18,SELL,V,Visa,5,299.20901080916934,,손절-10%,-9.999999999999998,63.0
2026-03-18,BUY,XOM,Exxon,4,158.5836245978209,5.0,TOP3 1/3,,
2026-03-18,BUY,BRK-B,Berkshire B,1,491.1400146484375,5.0,TOP3 1/3,,
2026-03-18,BUY,GOOGL,Alphabet A,2,309.0853604878573,4.0,TOP3 1/3,,
2026-03-20,SELL,HD,Home Depot,2,318.9108887084162,,손절-10%,-9.999999999999998,65.0
2026-03-20,SELL,NVDA,NVIDIA,2,172.05014158339833,,손절-10%,-9.999999999999998,19.0
2026-03-20,SELL,TSLA,Tesla,1,366.5610076904297,,손절-10%,-9.999999999999998,19.0
2026-03-20,BUY,JPM,JPMorgan,2,285.3277943529036,5.0,TOP3 1/3,,
2026-03-20,BUY,AMD,AMD,3,204.88999938964844,5.0,TOP3 1/3,,
2026-03-20,BUY,XOM,Exxon,4,158.27571685943028,5.0,TOP3 1/3,,
2026-03-24,SELL,ABBV,AbbVie,7,200.69997228119956,,손절-10%,-9.999999999999998,35.0
2026-03-24,BUY,AMD,AMD,2,201.38999938964844,6.0,TOP3 1/3,,
2026-03-24,BUY,TSLA,Tesla,1,376.55999755859375,6.0,TOP3 1/3,,
2026-03-24,BUY,JPM,JPMorgan,1,283.4360748065673,5.0,TOP3 1/3,,
2026-03-27,SELL,UNH,UnitedHealth,1,256.2281850341379,,손절-10%,-9.999999999999986,24.0
2026-03-27,SELL,GOOGL,Alphabet A,2,277.1144865271076,,손절(갭)-10.3%,-10.343703729703401,7.0
2026-03-27,BUY,ABBV,AbbVie,2,209.6804621896633,6.0,TOP3 1/3,,
2026-03-27,BUY,AAPL,Apple,1,253.666280215245,5.0,TOP3 1/3,,
2026-03-30,SELL,AVGO,Broadcom,1,292.10797551505027,,손절-10%,-9.999999999999986,9.0
2026-03-30,BUY,MRK,Merck,2,119.70914832116357,6.0,TOP3 1/3,,
2026-03-30,BUY,JNJ,Johnson&Johnson,1,242.09769065335334,4.0,TOP3 1/3,,
2026-04-07,SELL,TSLA,Tesla,1,338.9039978027344,,손절-10%,-9.999999999999986,9.0
2026-04-07,BUY,BAC,Bank of America,5,49.54258878927959,7.0,TOP3 1/3,,
2026-04-07,BUY,NFLX,Netflix,2,98.55000305175781,7.0,TOP3 1/3,,
2026-04-09,SELL,CRM,Salesforce,6,166.94651527490439,,손절-10%,-9.999999999999998,37.0
2026-04-09,BUY,NVDA,NVIDIA,2,181.6283100364998,8.0,TOP3 1/3,,
2026-04-09,BUY,AAPL,Apple,1,258.7615948993736,8.0,TOP3 1/3,,
2026-04-13,SELL,AMD,AMD,5,245.02999877929688,,익절+20%(익일시가),20.413779308194147,14.0
2026-04-13,BUY,NVDA,NVIDIA,3,185.81343445538195,8.0,TOP3 1/3,,
2026-04-13,BUY,META,Meta,1,628.9171329935918,6.0,TOP3 1/3,,
2026-04-13,BUY,AVGO,Broadcom,1,369.07588036868225,5.0,TOP3 1/3,,
2026-04-17,SELL,XOM,Exxon,8,142.58670365576302,,손절-10%,-10.000000000000009,21.0
2026-04-17,BUY,BRK-B,Berkshire B,1,475.489990234375,8.0,TOP3 1/3,,
2026-04-17,BUY,ORCL,Oracle,2,182.29578972754894,6.0,TOP3 1/3,,
2026-04-17,BUY,ABBV,AbbVie,2,209.66000366210938,6.0,TOP3 1/3,,
2026-04-28,SELL,ORCL,Oracle,2,161.59781465135282,,손절(갭)-11.4%,-11.354060950683708,7.0
2026-04-28,BUY,PG,P&G,1,150.02999877929688,5.0,TOP3 1/3,,
2026-04-29,SELL,MRK,Merck,2,107.73823348904722,,손절-10%,-9.999999999999998,21.0
2026-04-29,BUY,KO,Coca-Cola,2,77.86726689898849,5.0,TOP3 1/3,,
2026-04-29,BUY,CVX,Chevron,1,188.40437540590972,4.0,TOP3 1/3,,
2026-05-05,SELL,NFLX,Netflix,2,88.69500274658203,,손절-10%,-9.999999999999998,20.0
2026-05-12,SELL,NVDA,NVIDIA,5,218.29558003818886,,익절+20%(익일시가),18.549098232442063,22.0
2026-05-12,BUY,BRK-B,Berkshire B,1,481.67999267578125,8.0,TOP3 1/3,,
2026-05-12,BUY,JNJ,Johnson&Johnson,2,221.7248410111843,5.0,TOP3 1/3,,
2026-05-26,SELL,AAPL,Apple,8,309.55999755859375,,익절+20%(익일시가),19.653215737445116,77.0
2026-05-26,BUY,PEP,PepsiCo,6,148.1512938812572,7.0,TOP3 1/3,,
2026-05-26,BUY,PG,P&G,7,144.50999450683594,7.0,TOP3 1/3,,
2026-05-26,BUY,JPM,JPMorgan,3,307.1065011172144,6.0,TOP3 1/3,,
2026-06-01,SELL,AVGO,Broadcom,1,449.37877140364344,,익절+20%(익일시가),21.757826860629304,33.0
2026-06-01,BUY,BAC,Bank of America,4,51.044784529417285,7.0,TOP3 1/3,,
2026-06-11,SELL,META,Meta,1,565.3060574843756,,손절(갭)-10.1%,-10.114381080132596,42.0
2026-06-11,BUY,PEP,PepsiCo,2,144.86000061035156,8.0,TOP3 1/3,,
2026-06-11,BUY,PG,P&G,2,148.6999969482422,7.0,TOP3 1/3,,
2026-06-11,BUY,WMT,Walmart,2,120.56999969482422,6.0,TOP3 1/3,,
2026-06-25,SELL,CVX,Chevron,1,169.56393786531876,,손절-10%,-9.999999999999986,39.0
2026-06-29,SELL,ABBV,AbbVie,4,253.0500030517578,,익절+20%(익일시가),20.689522551923332,62.0
2026-06-29,BUY,MRK,Merck,3,127.6500015258789,6.0,TOP3 1/3,,
2026-06-29,BUY,V,Visa,1,338.2699890136719,5.0,TOP3 1/3,,
2026-07-01,SELL,WMT,Walmart,2,108.5129997253418,,손절-10%,-9.999999999999998,13.0
2026-07-01,BUY,NVDA,NVIDIA,1,196.1999969482422,5.0,TOP3 1/3,,
2026-07-08,SELL,BAC,Bank of America,9,59.369998931884766,,익절+20%(익일시가),18.242830887045326,62.0
2026-07-08,BUY,XOM,Exxon,2,143.44000244140625,7.0,TOP3 1/3,,
