date,portfolio,n_pos,cash
2025-07-15,9830.659291741977,7,1739.1669898010587
2025-07-16,9933.339025018344,7,1739.1669898010587
2025-07-17,9895.809987542758,7,1739.1669898010587
2025-07-18,9899.006520745883,7,1739.1669898010587
2025-07-21,9846.471082208285,7,1739.1669898010587
2025-07-22,9941.8117423035,7,1739.1669898010587
2025-07-23,10048.113187310824,7,1739.1669898010587
2025-07-24,9938.984303949008,7,1739.1669898010587
2025-07-25,10016.804677484164,7,1739.1669898010587
2025-07-28,10019.177594659457,7,1739.1669898010587
2025-07-29,9927.011319635043,7,1739.1669898010587
2025-07-30,9870.916936395297,7,1739.1669898010587
2025-07-31,9760.601895806918,7,1739.1669898010587
2025-08-01,9825.7076697327,7,1739.1669898010587
2025-08-04,9863.062604425082,7,1739.1669898010587
2025-08-05,9878.528081414828,7,1739.1669898010587
2025-08-06,9911.379712579379,7,1739.1669898010587
2025-08-07,9849.24956969314,9,1514.0110519319092
2025-08-08,9933.336643972925,9,1514.0110519319092
2025-08-11,9967.515995779566,9,1514.0110519319092
2025-08-12,10003.539494314722,9,1514.0110519319092
2025-08-13,10080.729725637964,9,1514.0110519319092
2025-08-14,10100.182041922144,9,1514.0110519319092
2025-08-15,10103.806996145777,9,1514.0110519319092
2025-08-18,10131.380902090601,9,1514.0110519319092
2025-08-19,10145.894085684351,9,1514.0110519319092
2025-08-20,10177.780537405542,9,1514.0110519319092
2025-08-21,10164.629895579215,12,886.0085271710116
2025-08-22,10299.93996180236,12,886.0085271710116
2025-08-25,10236.231671702262,12,886.0085271710116
2025-08-26,10273.926556956168,12,886.0085271710116
2025-08-27,10293.509547575493,13,1150.250712736626
2025-08-28,10289.802447660943,13,1150.250712736626
2025-08-29,10344.086863859673,13,1150.250712736626
2025-09-02,10341.459201200982,13,1150.250712736626
2025-09-03,10316.657786711236,13,1150.250712736626
2025-09-04,10360.939318998833,13,1150.250712736626
2025-09-05,10271.320613249321,13,1150.250712736626
2025-09-08,10247.167369697052,12,1069.2352026438289
2025-09-09,10290.05704865213,12,1069.2352026438289
2025-09-10,10230.224887702423,12,1069.2352026438289
2025-09-11,10322.048366401154,12,1069.2352026438289
2025-09-12,10234.892574164825,12,1069.2352026438289
2025-09-15,10207.24879059549,12,1069.2352026438289
2025-09-16,10233.504520270782,12,1069.2352026438289
2025-09-17,10316.142879340607,12,1069.2352026438289
2025-09-18,10251.945369574982,12,1069.2352026438289
2025-09-19,10248.214130256134,12,1069.2352026438289
2025-09-22,10201.650943610626,12,1069.2352026438289
2025-09-23,10162.923824164825,12,1069.2352026438289
2025-09-24,10169.95262512918,12,1069.2352026438289
2025-09-25,10115.93302521463,12,1069.2352026438289
