date,side,tic,name,qty,price,buy_hit,reason,pnl_pct,hold_days
2025-07-15,BUY,LLY,Eli Lilly,1,796.0388582094099,8.0,TOP7 1/7,,
2025-07-15,BUY,COST,Costco,1,973.7685486975313,6.0,TOP7 1/7,,
2025-07-15,BUY,TSLA,Tesla,4,319.67999267578125,5.0,TOP7 1/7,,
2025-07-15,BUY,MRK,Merck,17,81.06969538656064,4.0,TOP7 1/7,,
2025-07-15,BUY,BRK-B,Berkshire B,3,475.29998779296875,4.0,TOP7 1/7,,
2025-07-15,BUY,MA,Mastercard,2,549.6846296770426,4.0,TOP7 1/7,,
2025-07-15,BUY,ABBV,AbbVie,7,185.79985826494044,4.0,TOP7 1/7,,
2025-08-07,SELL,LLY,Eli Lilly,1,670.913876646079,,손절(갭)-15.7%,-15.718451464138816,17.0
2025-08-07,BUY,KO,Coca-Cola,5,67.54701641074455,8.0,TOP7 1/7,,
2025-08-07,BUY,AAPL,Apple,1,218.01508808955717,6.0,TOP7 1/7,,
2025-08-07,BUY,V,Visa,1,338.75422609906036,6.0,TOP7 1/7,,
2025-09-16,SELL,TSLA,Tesla,4,414.5,,익절+30%(익일시가),29.660913881584385,43.0
2025-09-16,BUY,ORCL,Oracle,1,310.52080454990636,5.0,TOP7 1/7,,
2025-09-16,BUY,NVDA,NVIDIA,2,176.77453647764895,4.0,TOP7 1/7,,
2025-09-16,BUY,AVGO,Broadcom,1,362.7719353127759,4.0,TOP7 1/7,,
2025-09-16,BUY,WMT,Walmart,4,103.2294787165259,4.0,TOP7 1/7,,
2025-09-16,BUY,AMD,AMD,2,161.3699951171875,3.0,TOP7 1/7,,
2025-09-25,SELL,AVGO,Broadcom,1,326.4947417814983,,손절-10%,-9.999999999999998,7.0
2025-09-25,BUY,PEP,PepsiCo,1,138.89950508173737,6.0,TOP7 1/7,,
2025-09-25,BUY,JNJ,Johnson&Johnson,1,174.14935263823506,4.0,TOP7 1/7,,
2025-09-29,SELL,ORCL,Oracle,1,279.46872409491573,,손절-10%,-9.999999999999998,9.0
2025-09-29,BUY,PEP,PepsiCo,1,136.41291197551016,6.0,TOP7 1/7,,
2025-09-29,BUY,NVDA,NVIDIA,1,180.2001578366391,5.0,TOP7 1/7,,
2025-09-29,BUY,PG,P&G,1,149.17119667042698,5.0,TOP7 1/7,,
2025-09-29,BUY,JNJ,Johnson&Johnson,1,176.73407855455278,4.0,TOP7 1/7,,
2025-10-07,SELL,AMD,AMD,2,214.85000610351562,,익절+30%(익일시가),33.141236044216726,14.0
2025-10-07,BUY,NFLX,Netflix,1,117.77899932861328,5.0,TOP7 1/7,,
2025-10-07,BUY,CVX,Chevron,1,149.11508472906,5.0,TOP7 1/7,,
2025-11-19,SELL,COST,Costco,1,876.3916938277782,,손절-10%,-9.999999999999998,90.0
2025-11-19,BUY,NFLX,Netflix,2,113.0,7.0,TOP7 1/7,,
2025-11-19,BUY,JNJ,Johnson&Johnson,1,196.55683769104098,6.0,TOP7 1/7,,
2025-11-19,BUY,KO,Coca-Cola,4,69.77009660687074,6.0,TOP7 1/7,,
2025-11-19,BUY,PG,P&G,2,144.83335037170994,6.0,TOP7 1/7,,
2025-11-19,BUY,CVX,Chevron,2,148.33698903429723,6.0,TOP7 1/7,,
2025-11-19,BUY,PEP,PepsiCo,2,144.04752667055314,5.0,TOP7 1/7,,
2025-12-03,SELL,AAPL,Apple,1,285.6692634925469,,익절+30%(익일시가),31.03187765389819,81.0
2025-12-03,SELL,NFLX,Netflix,3,103.13369979858398,,손절-10%,-10.000000000000009,40.0
2025-12-26,SELL,MRK,Merck,17,104.91289195530771,,익절+30%(익일시가),29.410739062305268,114.0
2025-12-26,BUY,ABBV,AbbVie,1,226.10985209883884,6.0,TOP7 1/7,,
2025-12-26,BUY,AMZN,Amazon,1,232.0399932861328,6.0,TOP7 1/7,,
2025-12-26,BUY,KO,Coca-Cola,5,69.02665403409692,5.0,TOP7 1/7,,
2025-12-26,BUY,MRK,Merck,3,104.91289195530771,5.0,TOP7 1/7,,
2025-12-26,BUY,PG,P&G,2,142.2216767785809,5.0,TOP7 1/7,,
2025-12-26,BUY,ORCL,Oracle,2,196.16784940358133,5.0,TOP7 1/7,,
2026-01-21,SELL,ORCL,Oracle,2,176.5510644632232,,손절-10%,-9.999999999999986,16.0
2026-01-21,BUY,PG,P&G,1,144.93187900703413,8.0,TOP7 1/7,,
2026-01-21,BUY,KO,Coca-Cola,2,71.02986070831885,7.0,TOP7 1/7,,
2026-01-21,BUY,PEP,PepsiCo,1,144.2304146405,7.0,TOP7 1/7,,
2026-02-06,SELL,AMZN,Amazon,1,202.6999969482422,,손절(갭)-12.6%,-12.644370447688702,28.0
2026-02-06,BUY,MRK,Merck,1,119.01626876539304,5.0,TOP7 1/7,,
2026-02-06,BUY,BAC,Bank of America,3,54.95221167188521,4.0,TOP7 1/7,,
2026-02-09,SELL,JNJ,Johnson&Johnson,3,237.61302018969775,,익절+30%(익일시가),30.213121154294086,92.0
2026-02-09,BUY,BAC,Bank of America,4,55.783174213696384,6.0,TOP7 1/7,,
2026-02-09,BUY,NVDA,NVIDIA,1,184.03552934237337,6.0,TOP7 1/7,,
2026-02-09,BUY,ABBV,AbbVie,1,221.58172183671343,5.0,TOP7 1/7,,
2026-02-23,SELL,MA,Mastercard,2,494.7161667093384,,손절-10%,-9.999999999999998,153.0
2026-02-23,SELL,V,Visa,1,304.87880348915434,,손절-10%,-9.999999999999998,136.0
2026-02-23,BUY,NVDA,NVIDIA,1,191.1668239815537,6.0,TOP7 1/7,,
2026-02-23,BUY,UNH,UnitedHealth,1,284.6979833712643,5.0,TOP7 1/7,,
2026-02-23,BUY,NFLX,Netflix,4,77.79000091552734,4.0,TOP7 1/7,,
2026-02-24,SELL,BAC,Bank of America,7,49.88434266905672,,손절-10%,-9.999999999999998,11.0
2026-02-24,BUY,NVDA,NVIDIA,1,191.2567378902843,5.0,TOP7 1/7,,
2026-02-24,BUY,PG,P&G,1,163.66757394503628,3.0,TOP7 1/7,,
2026-02-24,BUY,KO,Coca-Cola,3,79.47686333011143,2.0,TOP7 1/7,,
2026-02-24,BUY,MRK,Merck,2,121.62800722329611,2.0,TOP7 1/7,,
2026-03-13,SELL,CVX,Chevron,3,194.22109598446244,,익절+30%(익일시가),30.703809621695612,107.0
2026-03-13,BUY,CVX,Chevron,1,194.22109598446244,4.0,TOP7 1/7,,
2026-03-13,BUY,WMT,Walmart,1,124.8948431387138,3.0,TOP7 1/7,,
2026-03-13,BUY,XOM,Exxon,1,153.25975221702967,3.0,TOP7 1/7,,
2026-03-27,SELL,UNH,UnitedHealth,1,256.2281850341379,,손절-10%,-9.999999999999986,24.0
2026-03-27,BUY,MRK,Merck,1,118.43828720586941,4.0,TOP7 1/7,,
2026-03-27,BUY,XOM,Exxon,1,164.46370369951495,3.0,TOP7 1/7,,
2026-03-30,SELL,NVDA,NVIDIA,6,165.03124830092224,,손절-10%,-9.999999999999998,134.0
2026-03-30,BUY,MRK,Merck,2,119.70914832116357,6.0,TOP7 1/7,,
2026-03-30,BUY,JNJ,Johnson&Johnson,1,242.09769065335334,4.0,TOP7 1/7,,
2026-03-30,BUY,KO,Coca-Cola,3,75.4429159104272,4.0,TOP7 1/7,,
2026-03-30,BUY,PEP,PepsiCo,1,152.2185057080722,4.0,TOP7 1/7,,
2026-03-30,BUY,WMT,Walmart,2,123.47435432392255,3.0,TOP7 1/7,,
2026-03-30,BUY,XOM,Exxon,1,171.34697728498398,3.0,TOP7 1/7,,
2026-04-07,SELL,NFLX,Netflix,4,98.55000305175781,,익절+30%(익일시가),26.687237295155562,29.0
2026-04-07,BUY,BAC,Bank of America,3,49.54258878927959,7.0,TOP7 1/7,,
2026-04-07,BUY,NFLX,Netflix,1,98.55000305175781,7.0,TOP7 1/7,,
2026-04-07,BUY,WMT,Walmart,1,125.94964029245568,6.0,TOP7 1/7,,
2026-04-07,BUY,KO,Coca-Cola,2,76.70476805785233,6.0,TOP7 1/7,,
2026-04-14,SELL,XOM,Exxon,3,146.72112996045857,,손절-10%,-9.999999999999986,21.0
2026-05-05,SELL,NFLX,Netflix,1,88.69500274658203,,손절-10%,-9.999999999999998,20.0
2026-05-05,BUY,XOM,Exxon,1,152.06784743638346,5.0,TOP7 1/7,,
2026-05-05,BUY,MRK,Merck,1,112.85840887228717,4.0,TOP7 1/7,,
2026-05-05,BUY,KO,Coca-Cola,2,77.68842190943671,4.0,TOP7 1/7,,
2026-06-18,SELL,CVX,Chevron,1,174.7989863860162,,손절-10%,-9.999999999999998,67.0
2026-06-18,SELL,XOM,Exxon,1,136.86106269274512,,손절-10%,-9.999999999999998,31.0
2026-06-18,BUY,PG,P&G,1,150.8699951171875,4.0,TOP7 1/7,,
2026-06-18,BUY,KO,Coca-Cola,1,79.87000274658203,3.0,TOP7 1/7,,
2026-06-29,SELL,ABBV,AbbVie,9,253.0500030517578,,익절+30%(익일시가),30.267247972808974,239.0
2026-06-29,BUY,MRK,Merck,3,127.6500015258789,6.0,TOP7 1/7,,
2026-06-29,BUY,V,Visa,1,338.2699890136719,5.0,TOP7 1/7,,
2026-06-29,BUY,AMZN,Amazon,1,234.22000122070312,5.0,TOP7 1/7,,
2026-06-29,BUY,PEP,PepsiCo,3,141.97000122070312,5.0,TOP7 1/7,,
2026-06-29,BUY,HD,Home Depot,1,348.8599853515625,4.0,TOP7 1/7,,
2026-06-29,BUY,TSLA,Tesla,1,381.7900085449219,4.0,TOP7 1/7,,
