디에이치아너힐즈 20·30평대 반전세  |  28건  |  전환율 4.5%,,,,,,,,,,,,,,,,,,,
단지구분,단지,평형대,공급평,공급㎡,전용㎡,동,층,향,보증금 만원,월세 만원,전세환산가 만원,전세환산가 억,전환율,특징,중개사,전화,확인일,매물번호,링크
3단지,디에이치아너힐즈,20평대,25,82.78,59.74,302동,저층/28층,남향,35000,320,120333,12.03,4.5%,24 공원인접 개포동역세권 아름다운정원뷰 풀옵션의 살고싶은집,신호단지내공인중개사사무소,02-3463-9995,26.07.22,142063691,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142063691&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,20평대,25.3,83.61,59.87,303동,고층/23층,남향,70000,200,123333,12.33,4.5%,,강남미소자이공인중개사사무소,02-575-5010,26.08.08,142672086,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142672086&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,20평대,25.3,83.53,59.8,302동,고층/28층,남향,75000,200,128333,12.83,4.5%,24 보증금조정가 풀에어컨 최고급커뮤니티 중석식서비스,강남미소자이공인중개사사무소,02-575-5010,26.08.08,142671325,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142671325&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,20평대,25,82.78,59.74,304동,중층/18층,남동향,75000,200,128333,12.83,4.5%,"25 최고급 커뮤니티 풀옵션 사계절 숲과 대모산조망 중,석",개포양지공인중개사사무소,02-571-1588,26.08.12,142854892,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142854892&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,20평대,25,82.78,59.74,315동,25층/29층,남동향,75000,200,128333,12.83,4.5%,25/ 풀옵션/ 보증금조정가 고급 커뮤니티 중석 서비스,개포양지공인중개사사무소,02-571-1588,26.08.11,142813615,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142813615&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,중층/28층,남향,100000,140,137333,13.73,4.5%,33 보증금조정가능 풀에어컨 풀옵션 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.11,142824241,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142824241&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,중층/28층,남향,60000,300,140000,14,4.5%,31 로얄동 공원뷰 고품질 숲세권아파트 호텔같은 커뮤니티,개포우리공인중개사사무소,02-451-1000,26.07.28,142284892,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142284892&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,305동,중층/29층,남서향,100000,150,140000,14,4.5%,33 풀에어컨 풀옵션 최고급커뮤니티 개포동역,강남미소자이공인중개사사무소,02-575-5010,26.07.28,142281826,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142281826&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
3단지,디에이치아너힐즈,30평대,35,115.79,84.63,306동,고층/20층,남향,100000,160,142667,14.27,4.5%,34 쾌적한주거 호텔식커뮤니티 중석식 개포동역 경기여고,한양공인중개사사무소,02-572-1647,26.07.21,142013071,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142013071&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
3단지,디에이치아너힐즈,30평대,34.9,115.24,84.35,317동,중층/29층,남향,110000,140,147333,14.73,4.5%,33보증금조정가 오래거주가능 대모산거실뷰 커뮤니티굿 살고싶은아파트,개포우리공인중개사사무소,02-451-1000,26.08.12,142864234,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142864234&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,305동,중층/29층,남향,105000,160,147667,14.77,4.5%,34 보증금조정가 풀에어컨 채광굿 개포동역 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.08,142683493,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142683493&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,311동,중층/29층,남향,105000,160,147667,14.77,4.5%,34 보증금조정가 풀에어컨 개포동역 개포문화공원 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.11,142824580,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142824580&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,중층/28층,남서향,100000,180,148000,14.8,4.5%,31 대치학군&대치동 10거리 O 강남 최초 하이엔드 O,개포코리아공인중개사사무소,02-459-8886,26.08.12,142852927,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142852927&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,20층/28층,남동향,100000,180,148000,14.8,4.5%,31 l 햇살가득 l 접근성 전망 굿 l 입주협의,(개포)써밋공인중개사사무소,02-574-0099,26.08.03,142486137,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142486137&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,317동,저층/29층,남동향,70000,300,150000,15,4.5%,"31 장기거주,내부상태최상,입주협의,탁트인대모산뷰",더트리니원공인중개사사무소,02-573-3400,26.08.12,142862480,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142862480&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,35,115.79,84.63,306동,고층/20층,동향,108000,160,150667,15.07,4.5%,34 /풀옵션/ 대모산 사계절조망 고급 커뮤니티,개포양지공인중개사사무소,02-571-1588,26.08.12,142854016,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142854016&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,311동,중층/29층,남동향,108000,160,150667,15.07,4.5%,31 l 햇살가득 l 접근성 전망 굿 l 입주협의,(개포)써밋공인중개사사무소,02-574-0099,26.08.12,142841889,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142841889&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,313동,중층/29층,남향,108000,160,150667,15.07,4.5%,34 보증금조정가 풀에어컨 근린공원 뻥터진뷰 중석식서비스,강남미소자이공인중개사사무소,02-575-5010,26.08.11,142824042,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142824042&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,30평대,34,112.47,82.83,317동,2층/29층,남향,108000,160,150667,15.07,4.5%,"사계절그림같은숲조망,햇살가득한집,장기거주,최상커뮤니티",개포아너힐즈공인중개사사무소,02-529-0055,26.08.13,142876970,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142876970&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,34.9,115.24,84.35,317동,17층/29층,남동향,108000,160,150667,15.07,4.5%,"34,직접,확실,사계절그림같은숲조망,햇살가득한집",개포아너힐즈공인중개사사무소,02-529-0055,26.08.13,142876964,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142876964&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,305동,중층/29층,남향,140000,40,150667,15.07,4.5%,34 보증금조정가 풀에어컨 채광굿 개포동역 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.11,142824674,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142824674&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,309동,중층/29층,남향,140000,40,150667,15.07,4.5%,34 보증금조정가 풀에어컨 개포문화공원 개포동역 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.11,142824168,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142824168&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,313동,중층/29층,남향,140000,40,150667,15.07,4.5%,34 전세가능 최고급커뮤니티 숲세권,개포드림공인중개사사무소,02-579-7472,26.08.11,142819399,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142819399&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,34.5,114.2,84.35,305동,고층/29층,남동향,120000,120,152000,15.2,4.5%,융무/보증금 조정/9월 협의 입주,개포자이힐즈공인중개사사무소,02-459-0911,26.08.12,142838266,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142838266&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
3단지,디에이치아너힐즈,30평대,35,115.79,84.63,308동,저층/20층,남동향,120000,120,152000,15.2,4.5%,보증금 조정/정상 입주/융무,개포자이힐즈공인중개사사무소,02-459-0911,26.08.08,142674268,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142674268&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,중층/28층,남서향,110000,160,152667,15.27,4.5%,31.오래 거주 가능한 집,늘조은공인중개사사무소,02-422-0045,26.08.10,142724182,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142724182&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,저층/28층,남서향,110000,160,152667,15.27,4.5%,31 대치학군&대치동 10거리 O 강남 최초 하이엔드 O,개포코리아공인중개사사무소,02-459-8886,26.08.10,142698559,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142698559&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
3단지,디에이치아너힐즈,30평대,31.3,103.57,76.17,322동,고층/28층,남서향,110000,160,152667,15.27,4.5%,조망 최상/보증금 조정/정상 입주,개포자이힐즈공인중개사사무소,02-459-0911,26.08.08,142678727,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142678727&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
