개포자이프레지던스 20·30평대 반전세  |  76건  |  전환율 4.5%,,,,,,,,,,,,,,,,,,,
단지구분,단지,평형대,공급평,공급㎡,전용㎡,동,층,향,보증금 만원,월세 만원,전세환산가 만원,전세환산가 억,전환율,특징,중개사,전화,확인일,매물번호,링크
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,435동,중층/25층,남향,80000,150,120000,12,4.5%,26 지하철인접동 마운틴뷰 호텔급 커뮤니티,명공인중개사사무소,02-575-8924,26.08.10,142762266,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142762266&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,435동,저층/25층,남동향,100000,80,121333,12.13,4.5%,24 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.10,142754208,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142754208&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,중층/26층,남동향,90000,120,122000,12.2,4.5%,보증금 조정 가능 커뮤니티 상가 가까운동 풀옵션,개포마루(단지내)공인중개사사무소,02-3411-3211,26.08.11,142796753,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142796753&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,20평대,24,79.4,59.83,424동,저층/26층,남동향,80000,160,122667,12.27,4.5%,24 보증금조정가 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.10,142754524,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142754524&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,17층/26층,남동향,70000,200,123333,12.33,4.5%,24 대치학군을 갖춘 랜드마크 아파트를 선택할 기회,개포코리아공인중개사사무소,02-459-8886,26.08.12,142851737,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142851737&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,고층/26층,남동향,70000,200,123333,12.33,4.5%,24 8-9억가능 풀에어컨 채광굿 개포초등학교 최고급커뮤니티,강남미소자이공인중개사사무소,02-575-5010,26.08.10,142754509,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142754509&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,431동,19층/25층,남동향,70000,200,123333,12.33,4.5%,24 대치학군을 갖춘 랜드마크 아파트를 선택할 기회,개포코리아공인중개사사무소,02-459-8886,26.08.12,142851289,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142851289&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,431동,저층/25층,남서향,70000,200,123333,12.33,4.5%,급월세 빠른입주 가능 조용한동 커뮤니티 상가 가까운동,개포마루(단지내)공인중개사사무소,02-3411-3211,26.08.11,142794367,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142794367&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,431동,고층/25층,남동향,70000,200,123333,12.33,4.5%,"24 보증금조정가 빠른입주가 상가,커뮤니티편리동",미소공인중개사사무소,02-571-7766,26.08.10,142697461,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142697461&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,435동,저층/25층,남서향,70000,200,123333,12.33,4.5%,"24 뷰좋아요,상가&지하철 이용편리,장기가능",개포양지공인중개사사무소,02-571-1588,26.08.12,142851916,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142851916&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,435동,저층/25층,남향,40000,320,125333,12.53,4.5%,25 로얄동 초품아 중석식 프리미엄커뮤니티 도서관 독서실,한양공인중개사사무소,02-572-1647,26.08.12,142859398,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142859398&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,435동,19층/25층,남서향,80000,180,128000,12.8,4.5%,24 대치학군을 갖춘 랜드마크 아파트를 선택할 기회,개포코리아공인중개사사무소,02-459-8886,26.08.11,142819756,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142819756&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,저층/26층,남동향,35000,350,128333,12.83,4.5%,25 호텔식커뮤니티 초품아 중석식 북카페 인피니티풀,한양공인중개사사무소,02-572-1647,26.08.11,142811042,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142811042&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,20평대,24,79.4,59.83,427동,중층/27층,남동향,35000,350,128333,12.83,4.5%,25 대모산뷰 로얄동 가격협의 초품아 중석식 호텔식커뮤니티,한양공인중개사사무소,02-572-1647,26.08.12,142859220,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142859220&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,427동,고층/27층,남서향,35000,350,128333,12.83,4.5%,뷰 최고 입주협의 커뮤니티 상가 가까운동 보증금조정가능,개포마루(단지내)공인중개사사무소,02-3411-3211,26.08.12,142845517,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142845517&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,20평대,24,79.4,59.83,431동,저층/25층,남동향,70000,220,128667,12.87,4.5%,,개포자이힐즈공인중개사사무소,02-459-0911,26.08.11,142788871,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142788871&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=5
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,435동,중층/25층,남동향,70000,220,128667,12.87,4.5%,24 보증금조정 최고급커뮤니티 3375대단지 초품아 중석식,닥터(02-2226-7582)공인중개사사무소,02-2226-7582,26.08.13,142884764,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142884764&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=2
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,고층/26층,남동향,50000,300,130000,13,4.5%,24 최고급커뮤니티 지하철인접 초품아 판상형의 밝은집 강력추천,신호단지내공인중개사사무소,02-3463-9995,26.07.22,142064738,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142064738&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,20평대,24,79.4,59.83,431동,저층/25층,남동향,50000,300,130000,13,4.5%,24 보증금조정가 풀옵션 초품아 관리잘된집,단지내메리트공인중개사사무소,02-451-5888,26.07.25,142186917,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142186917&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=1
4단지,개포자이프레지던스,20평대,24,79.4,59.83,424동,중층/26층,남동향,70000,230,131333,13.13,4.5%,24 융무/선호하는 구조/보증금 조정/빠른 입주 가능,개포자이힐즈공인중개사사무소,02-459-0911,26.08.08,142697799,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142697799&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,고층/26층,남서향,80000,200,133333,13.33,4.5%,"24 융무,빠른입주 가능 ,풀옵션",개포자이힐즈공인중개사사무소,02-459-0911,26.08.12,142838211,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142838211&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,424동,고층/26층,남동향,40000,360,136000,13.6,4.5%,"24,귀한월세 보증금 조정가능 인기동 장기거주가능",개포탑자이공인중개사사무소,02-459-3040,26.08.08,142693790,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142693790&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=6
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,431동,중층/25층,남서향,40000,360,136000,13.6,4.5%,"24 커뮤니티&상가 인접동,주인직접,컨디션굿",개포양지공인중개사사무소,02-571-1588,26.08.12,142851900,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142851900&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=4
4단지,개포자이프레지던스,20평대,24,79.4,59.83,435동,저층/25층,남서향,30000,400,136667,13.67,4.5%,"24 지하철 가깝고 상가이용 편리,정원뷰,입주협의",개포양지공인중개사사무소,02-571-1588,26.08.12,142852062,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142852062&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=3
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,431동,중층/25층,남동향,40000,380,141333,14.13,4.5%,,개포탑자이공인중개사사무소,02-459-3040,26.08.07,142655568,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142655568&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=7
4단지,개포자이프레지던스,20평대,24.1,79.52,59.97,427동,중층/27층,남향,130000,50,143333,14.33,4.5%,"25 , 대모산뷰 , 고급풀옵션 , 호텔식조중석식 , 최고급커뮤니티",개포양지공인중개사사무소,02-571-1588,26.08.01,142452111,https://m.neonet.co.kr/novo-mobile/view/offerings/OfferingsDetail.neo?is_premium=&offerings_cd=142452111&offerings_gbn=AT&offer_gbn=M&region_cd=1168010300&page=8
