단지·평형대별 반전세 전세환산가 요약,,,,,,,,,
,,,,,,,,,
단지,평형대,매물수,최저 전세환산(억),중간 전세환산(억),최고 전세환산(억),최저 보증금(억),최고 보증금(억),최저 월세(만),최고 월세(만)
디에이치아너힐즈,20평대,5,12.03,12.83,12.83,3.5,7.5,200,320
디에이치아너힐즈,30평대,23,13.73,15.07,15.27,6,14,40,300
개포자이프레지던스,20평대,26,12,12.83,14.33,3,13,50,400
개포자이프레지던스,30평대,50,14,16,18.33,3,15,60,480
산식·기준,,,,,,,,,
,,,,,,,,,
전세환산가(만원) = 보증금(만원) + 월세(만원) × 12 ÷ 전월세전환율,,,,,,,,,
"전환율 4.5% = 주택임대차보호법 법정 상한 (한국은행 기준금리 2.5% + 2.0%p, 2026년 8월 기준)",,,,,,,,,
"예) 보증금 11억 / 월세 120만 → 110,000 + 120×12÷0.045 = 110,000 + 32,000 = 14.2억",,,,,,,,,
반전세 정의: 월세 매물 중 보증금 3억원 이상. 3억 미만은 '제외_순수월세' 시트에 참고로 넣었습니다.,,,,,,,,,
20평대 = 공급 20평 이상 30평 미만 (전용 59㎡ 등). 30평대 = 공급 30평 이상 40평 미만 (전용 76·84㎡ 등). 40평 이상은 제외.,,,,,,,,,
"네이버 부동산(new.land.naver.com)은 이 환경에서 접속이 차단되어, 중개사가 네이버와 같은 매물을 올리는 부동산뱅크(neonet)에서 수집했습니다.",,,,,,,,,
같은 호실이 여러 중개사에 중복 등록돼 있을 수 있습니다. 계약 전 실매물·입주일·보증금 조정을 꼭 확인하세요.,,,,,,,,,
수집 시각: 2026-08-13 02:12  |  디에이치아너힐즈 A1014443  |  개포자이프레지던스 A0041137,,,,,,,,,
